GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",1662948,4175,1081123,4388,757919,5082,581825,3443,8.5,0.1,5.7,0.1,1.8,0.1,14.9,0.3,5.2,0.1,3.4,0.1,1.4,0.1,9.0,0.2,10.7,0.2,7.5,0.2,4.3,0.2,17.0,0.3,9.9,0.1,8.1,0.2,5.9,0.2,13.7,0.3,13.2,0.2,12.1,0.2,10.8,0.2,15.2,0.3,17.5,0.2,18.3,0.2,18.9,0.2,15.4,0.3,12.1,0.2,14.3,0.2,16.8,0.2,7.4,0.2,13.3,0.2,17.4,0.2,22.3,0.3,5.1,0.2,5.1,0.1,7.1,0.1,9.5,0.2,1.2,0.1,4.5,0.1,6.2,0.1,8.4,0.2,1.2,0.1,52603,320,67358,441,84586,499,31393,233,72166,306,86299,405,103939,536,43560,420,31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X)
310M200US20020,20020,"Dothan, AL Metro Area",56845,503,38150,658,27218,561,18695,610,9.4,0.5,6.7,0.6,1.8,0.4,16.6,1.2,7.9,0.5,4.4,0.5,1.7,0.4,15.7,1.2,14.0,0.7,10.6,0.8,6.7,0.6,21.3,1.3,12.2,0.7,11.2,0.7,9.8,0.8,14.1,1.2,15.5,0.7,15.3,0.9,15.5,1.1,14.6,1.2,17.0,0.7,20.2,0.9,22.8,1.1,10.3,1.0,10.1,0.5,13.1,0.7,17.2,0.9,3.4,0.6,8.7,0.6,11.5,0.8,15.1,1.0,2.7,0.6,2.8,0.4,3.9,0.5,5.3,0.8,0.7,0.2,2.4,0.3,3.2,0.3,4.2,0.5,0.7,0.2,40596,878,51581,1028,65352,1397,22665,1039,56987,1077,67931,1562,81761,2064,33044,1089,33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X)
310M200US20100,20100,"Dover, DE Metro Area",60571,648,42277,778,30476,836,18294,734,6.0,0.7,4.2,0.7,1.3,0.5,11.7,1.8,5.0,0.6,3.0,0.5,1.3,0.4,10.2,1.5,9.9,0.9,7.5,0.9,4.3,0.9,17.4,2.0,10.4,0.9,9.9,1.0,7.2,1.1,12.5,2.0,14.0,0.8,12.2,0.9,11.7,1.1,17.5,1.9,20.3,1.2,21.7,1.5,22.7,1.8,16.4,1.8,14.4,1.0,16.5,1.4,19.8,1.6,8.1,1.4,13.7,1.0,16.8,1.2,20.9,1.6,4.7,1.1,3.9,0.5,5.0,0.7,6.5,0.9,1.0,0.5,2.5,0.4,3.3,0.5,4.3,0.7,0.6,0.4,54976,1350,64252,2078,77246,2749,32842,2606,67538,1362,76306,1831,88885,2360,42521,2285,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X)
310M200US20220,20220,"Dubuque, IA Metro Area",37891,312,24814,437,19904,476,13077,477,5.9,0.8,3.6,0.7,1.3,0.5,11.3,1.9,4.2,0.6,2.3,0.6,0.8,0.5,8.5,1.4,10.4,0.9,5.3,0.7,3.1,0.6,20.2,1.9,11.0,0.8,7.7,0.8,6.3,0.9,17.5,2.0,14.7,0.8,14.2,1.0,12.8,1.0,15.9,1.6,20.8,1.1,23.1,1.2,24.1,1.5,15.3,1.9,15.1,0.9,19.2,1.2,22.4,1.5,6.8,1.4,12.1,0.8,16.3,1.0,19.3,1.4,3.2,0.8,3.2,0.4,4.6,0.6,5.4,0.7,0.6,0.3,2.7,0.4,3.7,0.7,4.4,0.8,0.6,0.5,54605,1219,68157,1669,76457,1451,30775,1141,67186,1590,80811,2105,89792,2410,39245,2046,25.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.4,(X)
310M200US20260,20260,"Duluth, MN-WI Metro Area",116524,747,70026,712,53447,754,46498,764,7.9,0.4,4.4,0.4,1.4,0.2,14.6,1.0,6.1,0.3,2.9,0.4,1.0,0.2,11.6,0.7,11.9,0.5,6.6,0.5,4.1,0.5,20.6,1.0,10.7,0.5,8.9,0.5,6.8,0.5,13.6,0.8,14.2,0.6,13.3,0.7,12.8,0.7,15.1,0.9,19.8,0.5,22.9,0.7,24.1,0.8,14.3,0.6,12.6,0.4,16.6,0.6,19.5,0.7,5.8,0.6,11.5,0.4,16.6,0.7,20.4,0.9,2.9,0.3,3.2,0.2,4.6,0.4,5.8,0.5,0.8,0.2,2.2,0.2,3.3,0.3,4.1,0.4,0.6,0.2,48905,876,64345,911,74831,1036,27131,712,61966,848,76735,1354,87876,1554,37214,772,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",210161,1292,128281,1679,92291,1697,81880,1433,7.7,0.4,4.7,0.4,1.7,0.3,13.6,0.8,4.9,0.3,2.9,0.4,1.2,0.3,8.3,0.7,10.7,0.6,7.7,0.6,4.2,0.5,15.6,1.0,10.1,0.5,8.2,0.6,5.5,0.5,13.4,0.9,13.8,0.6,12.1,0.6,10.0,0.7,16.6,1.0,17.2,0.6,17.7,0.7,17.9,0.8,15.6,0.9,11.3,0.6,13.1,0.7,15.8,1.0,7.7,0.7,12.5,0.4,16.9,0.7,21.3,0.9,5.5,0.5,5.4,0.3,7.5,0.5,9.8,0.7,1.9,0.4,6.5,0.4,9.3,0.5,12.6,0.7,1.9,0.4,53295,908,69840,1324,89551,1643,34093,1335,78213,1161,96409,1560,116798,2195,47555,1676,28.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X)
310M200US20700,20700,"East Stroudsburg, PA Metro Area",57297,938,41743,1012,31757,973,15554,811,5.5,0.8,3.8,0.8,1.4,0.5,11.4,2.1,4.2,0.6,2.8,0.7,1.6,0.6,9.0,1.7,9.7,0.9,6.6,0.9,4.4,0.9,18.6,2.3,10.0,1.0,8.9,1.1,6.8,0.9,14.5,2.0,13.7,1.1,13.5,1.3,13.0,1.4,14.1,1.8,20.4,1.3,21.2,1.4,22.0,1.8,17.6,2.3,14.1,1.2,16.2,1.5,17.8,1.7,7.5,1.7,14.6,1.2,17.4,1.5,21.2,1.9,4.9,1.3,4.8,0.8,6.3,1.0,7.8,1.3,0.8,0.5,3.0,0.5,3.3,0.7,4.1,0.8,1.5,0.7,57365,2071,66783,2687,76673,3606,31863,1829,69731,1813,77684,2418,87238,2651,43547,2318,31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
310M200US20740,20740,"Eau Claire, WI Metro Area",64766,582,40100,637,32448,617,24666,690,5.4,0.6,2.5,0.5,1.2,0.4,11.3,1.4,7.0,0.7,2.4,0.5,0.9,0.2,15.1,1.8,11.5,0.9,6.9,0.8,4.3,0.6,20.1,1.8,10.9,0.8,8.2,0.9,6.7,0.9,15.5,1.4,14.5,0.7,13.8,0.9,12.7,0.9,15.8,1.4,20.6,0.9,23.9,1.1,24.8,1.2,13.6,1.4,13.1,0.8,17.6,1.1,20.6,1.3,4.8,0.8,11.6,0.6,16.7,0.9,19.6,1.1,2.7,0.6,3.1,0.4,4.5,0.5,5.1,0.6,0.5,0.3,2.4,0.3,3.4,0.4,4.1,0.5,0.6,0.3,50611,930,66688,1677,74355,1536,26990,917,63745,1383,79563,2111,87728,2489,35580,1154,24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.5,(X)
310M200US20940,20940,"El Centro, CA Metro Area",46452,648,35874,898,23954,772,10578,615,10.0,0.9,7.8,1.0,3.3,0.9,20.4,3.1,9.8,1.0,6.3,0.9,3.6,1.0,23.0,3.0,13.3,1.0,12.9,1.1,10.6,1.3,14.0,2.4,11.5,1.0,12.5,1.2,11.6,1.2,8.8,2.4,12.9,1.1,13.8,1.2,15.0,1.6,10.2,2.2,15.1,1.3,16.5,1.3,18.5,1.8,9.3,2.2,10.8,1.0,11.8,1.1,12.7,1.5,6.4,1.8,11.4,1.0,12.6,1.1,17.1,1.7,5.1,1.6,3.2,0.5,3.5,0.6,4.6,0.9,1.7,0.8,2.0,0.5,2.2,0.5,3.0,0.8,1.3,0.7,41079,1556,45815,1868,58257,2627,18695,3379,56603,1498,60725,1757,71262,2501,37427,3450,37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X)
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",56278,616,39717,782,29739,667,16561,720,7.3,0.7,4.9,0.7,1.1,0.4,14.5,2.0,5.3,0.7,3.2,0.7,1.8,0.6,10.2,1.6,10.9,0.9,8.2,0.9,4.7,0.8,19.3,2.4,11.9,1.0,10.5,1.0,8.2,0.9,15.1,2.0,15.2,1.1,14.5,1.3,14.2,1.3,16.6,2.2,19.8,1.3,22.1,1.4,24.8,1.7,13.5,2.2,12.9,1.1,15.4,1.5,18.7,1.8,6.0,1.6,11.8,0.9,14.9,1.1,18.4,1.5,3.4,1.0,3.1,0.5,4.1,0.7,5.3,0.9,0.6,0.5,1.8,0.3,2.2,0.4,2.9,0.6,0.8,0.5,49458,1361,59273,1821,70300,1815,28500,2304,62031,1461,70302,1619,81596,1998,39312,2834,25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X)
