GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
310M200US17980,17980,"Columbus, GA-AL Metro Area",135700,3065
310M200US18020,18020,"Columbus, IN Metro Area",136000,3423
310M200US18140,18140,"Columbus, OH Metro Area",159100,876
310M200US18580,18580,"Corpus Christi, TX Metro Area",111500,1649
310M200US18700,18700,"Corvallis, OR Metro Area",269700,6344
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",182800,4496
310M200US19060,19060,"Cumberland, MD-WV Metro Area",120200,3379
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",156500,536
310M200US19140,19140,"Dalton, GA Metro Area",111700,3585
310M200US19180,19180,"Danville, IL Metro Area",75800,1802
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",169300,2933
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",125700,1758
310M200US19380,19380,"Dayton, OH Metro Area",122600,1035
310M200US19460,19460,"Decatur, AL Metro Area",116300,3102
310M200US19500,19500,"Decatur, IL Metro Area",94900,2070
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",138900,1907
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",267000,1072
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",160100,1291
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",127500,744
310M200US20020,20020,"Dothan, AL Metro Area",108700,2366
310M200US20100,20100,"Dover, DE Metro Area",200500,3818
310M200US20220,20220,"Dubuque, IA Metro Area",149400,2259
310M200US20260,20260,"Duluth, MN-WI Metro Area",141000,1747
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",197600,2836
310M200US20700,20700,"East Stroudsburg, PA Metro Area",174500,3522
310M200US20740,20740,"Eau Claire, WI Metro Area",150600,2327
310M200US20940,20940,"El Centro, CA Metro Area",151600,3755
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",137600,3309
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",124000,2227
310M200US21300,21300,"Elmira, NY Metro Area",100400,2657
310M200US21340,21340,"El Paso, TX Metro Area",113600,913
310M200US21500,21500,"Erie, PA Metro Area",118200,1525
310M200US21660,21660,"Eugene, OR Metro Area",215300,2425
310M200US21780,21780,"Evansville, IN-KY Metro Area",123400,2111
310M200US21820,21820,"Fairbanks, AK Metro Area",218100,6608
310M200US22020,22020,"Fargo, ND-MN Metro Area",167700,2110
310M200US22140,22140,"Farmington, NM Metro Area",145400,5633
310M200US22180,22180,"Fayetteville, NC Metro Area",131000,2150
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",146800,1967
310M200US22380,22380,"Flagstaff, AZ Metro Area",219300,6216
310M200US22420,22420,"Flint, MI Metro Area",88500,1104
310M200US22500,22500,"Florence, SC Metro Area",109000,2872
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",112300,2946
310M200US22540,22540,"Fond du Lac, WI Metro Area",146100,2354
310M200US22660,22660,"Fort Collins, CO Metro Area",263400,2806
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",103000,2126
310M200US23060,23060,"Fort Wayne, IN Metro Area",116000,1234
310M200US23420,23420,"Fresno, CA Metro Area",194600,2414
310M200US23460,23460,"Gadsden, AL Metro Area",100400,3087
310M200US23540,23540,"Gainesville, FL Metro Area",159400,3016
310M200US23580,23580,"Gainesville, GA Metro Area",159700,2720
310M200US23900,23900,"Gettysburg, PA Metro Area",193100,2978
310M200US24020,24020,"Glens Falls, NY Metro Area",163900,2134
310M200US24140,24140,"Goldsboro, NC Metro Area",110400,4309
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",153600,2678
310M200US24260,24260,"Grand Island, NE Metro Area",116300,3118
310M200US24300,24300,"Grand Junction, CO Metro Area",199000,4494
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",141100,883
310M200US24420,24420,"Grants Pass, OR Metro Area",215900,7319
310M200US24500,24500,"Great Falls, MT Metro Area",162100,2136
310M200US24540,24540,"Greeley, CO Metro Area",210100,3024
310M200US24580,24580,"Green Bay, WI Metro Area",156800,1321
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",140700,1241
310M200US24780,24780,"Greenville, NC Metro Area",135300,3761
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",140000,1239
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",130600,2470
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",180100,2874
310M200US25220,25220,"Hammond, LA Metro Area",137500,5263
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",169500,3251
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",170700,1147
310M200US25500,25500,"Harrisonburg, VA Metro Area",197900,3063
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",245000,1247
310M200US25620,25620,"Hattiesburg, MS Metro Area",131800,5082
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",121000,1756
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",253000,6655
310M200US25980,25980,"Hinesville, GA Metro Area",120100,5487
310M200US26140,26140,"Homosassa Springs, FL Metro Area",112300,3540
310M200US26300,26300,"Hot Springs, AR Metro Area",130700,5465
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",135400,3306
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",149300,729
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",105900,1943
310M200US26620,26620,"Huntsville, AL Metro Area",162800,1939
310M200US26820,26820,"Idaho Falls, ID Metro Area",154800,2141
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",141800,887
310M200US26980,26980,"Iowa City, IA Metro Area",182700,3812
310M200US27060,27060,"Ithaca, NY Metro Area",176500,4925
310M200US27100,27100,"Jackson, MI Metro Area",111500,2380
310M200US27140,27140,"Jackson, MS Metro Area",133300,2164
310M200US27180,27180,"Jackson, TN Metro Area",112900,2764
310M200US27260,27260,"Jacksonville, FL Metro Area",158100,1257
310M200US27340,27340,"Jacksonville, NC Metro Area",154000,2858
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",131800,2125
310M200US27620,27620,"Jefferson City, MO Metro Area",138400,2904
310M200US27740,27740,"Johnson City, TN Metro Area",130200,2574
310M200US27780,27780,"Johnstown, PA Metro Area",87100,1510
310M200US27860,27860,"Jonesboro, AR Metro Area",114000,4085
310M200US27900,27900,"Joplin, MO Metro Area",108000,2504
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",509700,15694
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",133000,2081
310M200US28100,28100,"Kankakee, IL Metro Area",138700,3419
310M200US28140,28140,"Kansas City, MO-KS Metro Area",159500,750
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",178400,2384
310M200US28660,28660,"Killeen-Temple, TX Metro Area",123600,1803
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",119200,1852
310M200US28740,28740,"Kingston, NY Metro Area",222800,3177
310M200US28940,28940,"Knoxville, TN Metro Area",150800,1615
310M200US29020,29020,"Kokomo, IN Metro Area",95700,2635
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",157100,2130
310M200US29180,29180,"Lafayette, LA Metro Area",132300,3347
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",128100,3302
310M200US29340,29340,"Lake Charles, LA Metro Area",123700,3429
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",123200,3262
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",107300,1608
310M200US29540,29540,"Lancaster, PA Metro Area",189200,1635
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",130100,1623
310M200US29700,29700,"Laredo, TX Metro Area",109500,2253
310M200US29740,29740,"Las Cruces, NM Metro Area",138100,3899
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",170400,1006
310M200US29940,29940,"Lawrence, KS Metro Area",179800,4139
310M200US30020,30020,"Lawton, OK Metro Area",113400,2677
310M200US30140,30140,"Lebanon, PA Metro Area",163800,1994
310M200US30300,30300,"Lewiston, ID-WA Metro Area",169000,3710
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",151100,2696
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",164800,1475
310M200US30620,30620,"Lima, OH Metro Area",105400,3316
310M200US30700,30700,"Lincoln, NE Metro Area",152600,1783
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",139000,1571
310M200US30860,30860,"Logan, UT-ID Metro Area",188400,3195
310M200US30980,30980,"Longview, TX Metro Area",111900,2460
310M200US31020,31020,"Longview, WA Metro Area",175300,3711
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",470300,1202
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",148900,959
310M200US31180,31180,"Lubbock, TX Metro Area",110100,2149
310M200US31340,31340,"Lynchburg, VA Metro Area",162900,2069
310M200US31420,31420,"Macon, GA Metro Area",118900,3012
310M200US31460,31460,"Madera, CA Metro Area",189700,6730
310M200US31540,31540,"Madison, WI Metro Area",219200,1242
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",245700,1821
310M200US31740,31740,"Manhattan, KS Metro Area",173800,4695
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",165500,1764
310M200US31900,31900,"Mansfield, OH Metro Area",102500,2728
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",79200,1447
310M200US32780,32780,"Medford, OR Metro Area",218100,5263
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",133300,1274
310M200US32900,32900,"Merced, CA Metro Area",161200,2605
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",197900,1143
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",123300,3029
310M200US33220,33220,"Midland, MI Metro Area",131200,3322
310M200US33260,33260,"Midland, TX Metro Area",164800,3778
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",193600,1046
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",213900,726
310M200US33540,33540,"Missoula, MT Metro Area",239700,4217
310M200US33660,33660,"Mobile, AL Metro Area",122400,1892
310M200US33700,33700,"Modesto, CA Metro Area",190800,2746
310M200US33740,33740,"Monroe, LA Metro Area",117900,3484
310M200US33780,33780,"Monroe, MI Metro Area",137200,3190
310M200US33860,33860,"Montgomery, AL Metro Area",129300,2064
310M200US34060,34060,"Morgantown, WV Metro Area",150300,4253
310M200US34100,34100,"Morristown, TN Metro Area",125800,3749
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",249800,5821
310M200US34620,34620,"Muncie, IN Metro Area",87700,1685
310M200US34740,34740,"Muskegon, MI Metro Area",99000,1707
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",165100,1782
310M200US34900,34900,"Napa, CA Metro Area",466800,8023
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",272800,5482
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",174700,906
310M200US35100,35100,"New Bern, NC Metro Area",149400,3718
310M200US35300,35300,"New Haven-Milford, CT Metro Area",245200,1861
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",176000,1324
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",398800,663
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",132600,3305
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",175100,2602
310M200US35980,35980,"Norwich-New London, CT Metro Area",244000,3027
310M200US36100,36100,"Ocala, FL Metro Area",111000,3039
310M200US36140,36140,"Ocean City, NJ Metro Area",299700,6542
310M200US36220,36220,"Odessa, TX Metro Area",103200,3614
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",199300,1665
310M200US36420,36420,"Oklahoma City, OK Metro Area",137200,818
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",239400,2421
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",148200,864
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",157900,1053
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",143100,2001
310M200US36980,36980,"Owensboro, KY Metro Area",112700,2701
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",458100,3239
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",142200,2060
310M200US37460,37460,"Panama City, FL Metro Area",156800,2660
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",104900,3185
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",135400,2267
310M200US37900,37900,"Peoria, IL Metro Area",131300,1667
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",236600,617
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",179100,992
310M200US38220,38220,"Pine Bluff, AR Metro Area",80200,2465
310M200US38300,38300,"Pittsburgh, PA Metro Area",132500,753
310M200US38340,38340,"Pittsfield, MA Metro Area",204700,5265
310M200US38540,38540,"Pocatello, ID Metro Area",145300,2790
310M200US38860,38860,"Portland-South Portland, ME Metro Area",234400,2067
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",270700,1162
310M200US38940,38940,"Port St. Lucie, FL Metro Area",145000,3353
310M200US39140,39140,"Prescott, AZ Metro Area",188200,5141
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",250700,1476
310M200US39340,39340,"Provo-Orem, UT Metro Area",227100,1476
310M200US39380,39380,"Pueblo, CO Metro Area",138600,2586
310M200US39460,39460,"Punta Gorda, FL Metro Area",145700,3388
310M200US39540,39540,"Racine, WI Metro Area",164600,2736
310M200US39580,39580,"Raleigh, NC Metro Area",210700,1840
310M200US39660,39660,"Rapid City, SD Metro Area",162100,2331
310M200US39740,39740,"Reading, PA Metro Area",168200,1277
310M200US39820,39820,"Redding, CA Metro Area",216600,3968
310M200US39900,39900,"Reno, NV Metro Area",212600,2976
310M200US40060,40060,"Richmond, VA Metro Area",213000,1234
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",245900,1555
310M200US40220,40220,"Roanoke, VA Metro Area",169000,1763
310M200US40340,40340,"Rochester, MN Metro Area",168100,1404
310M200US40380,40380,"Rochester, NY Metro Area",133500,686
310M200US40420,40420,"Rockford, IL Metro Area",121100,1679
310M200US40580,40580,"Rocky Mount, NC Metro Area",100300,2925
310M200US40660,40660,"Rome, GA Metro Area",117100,4296
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",286500,1357
310M200US40980,40980,"Saginaw, MI Metro Area",92900,1467
310M200US41060,41060,"St. Cloud, MN Metro Area",164000,1516
310M200US41100,41100,"St. George, UT Metro Area",212600,6032
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",111500,2280
310M200US41180,41180,"St. Louis, MO-IL Metro Area",157100,702
310M200US41420,41420,"Salem, OR Metro Area",191100,2285
310M200US41500,41500,"Salinas, CA Metro Area",369100,6340
310M200US41540,41540,"Salisbury, MD-DE Metro Area",210900,2657
310M200US41620,41620,"Salt Lake City, UT Metro Area",231000,1360
310M200US41660,41660,"San Angelo, TX Metro Area",108600,3814
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",138400,1027
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",429600,2036
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",617000,2424
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",688500,3479
310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",445700,6177
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",578800,9843
310M200US42140,42140,"Santa Fe, NM Metro Area",275200,5006
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",465300,14976
310M200US42220,42220,"Santa Rosa, CA Metro Area",436400,4485
310M200US42340,42340,"Savannah, GA Metro Area",168800,2094
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",133000,1567
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",321400,1277
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",157800,3696
310M200US42700,42700,"Sebring, FL Metro Area",85200,2897
310M200US43100,43100,"Sheboygan, WI Metro Area",148200,1887
310M200US43300,43300,"Sherman-Denison, TX Metro Area",107000,2950
310M200US43340,43340,"Shreveport-Bossier City, LA Metro Area",127600,3106
310M200US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",143900,5108
310M200US43580,43580,"Sioux City, IA-NE-SD Metro Area",110900,2108
310M200US43620,43620,"Sioux Falls, SD Metro Area",160300,1291
310M200US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",116100,1572
310M200US43900,43900,"Spartanburg, SC Metro Area",118200,1795
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",182200,2005
310M200US44100,44100,"Springfield, IL Metro Area",130700,1783
310M200US44140,44140,"Springfield, MA Metro Area",214100,2007
310M200US44180,44180,"Springfield, MO Metro Area",129500,1376
310M200US44220,44220,"Springfield, OH Metro Area",103600,2108
310M200US44300,44300,"State College, PA Metro Area",197200,4271
310M200US44420,44420,"Staunton-Waynesboro, VA Metro Area",183400,3488
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",223000,2709
310M200US44940,44940,"Sumter, SC Metro Area",107100,4328
310M200US45060,45060,"Syracuse, NY Metro Area",126700,1499
310M200US45220,45220,"Tallahassee, FL Metro Area",164700,2021
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",144600,944
310M200US45460,45460,"Terre Haute, IN Metro Area",88200,1644
310M200US45500,45500,"Texarkana, TX-AR Metro Area",96400,2892
310M200US45540,45540,"The Villages, FL Metro Area",213900,4992
310M200US45780,45780,"Toledo, OH Metro Area",114700,1130
310M200US45820,45820,"Topeka, KS Metro Area",120400,1558
310M200US45940,45940,"Trenton, NJ Metro Area",276500,3502
310M200US46060,46060,"Tucson, AZ Metro Area",159900,1136
310M200US46140,46140,"Tulsa, OK Metro Area",131400,988
310M200US46220,46220,"Tuscaloosa, AL Metro Area",146000,3133
310M200US46340,46340,"Tyler, TX Metro Area",130600,3616
