"GEO.id","GEO.id2","area_title","pop_est","pop_est_error"
"310M200US10180","10180","Abilene, TX MSA","168922","2568"
"310M200US10420","10420","Akron, OH MSA","704243","*****"
"310M200US10500","10500","Albany, GA MSA","156997","2018"
"310M200US10540","10540","Albany, OR MSA","120547","*****"
"310M200US10580","10580","Albany-Schenectady-Troy, NY MSA","881830","*****"
"310M200US10740","10740","Albuquerque, NM MSA","906209","2370"
"310M200US10780","10780","Alexandria, LA MSA","154484","*****"
"310M200US10900","10900","Allentown-Bethlehem-Easton, PA-NJ MSA","832327","*****"
"310M200US11020","11020","Altoona, PA MSA","125593","*****"
"310M200US11100","11100","Amarillo, TX MSA","263258","1646"
"310M200US11180","11180","Ames, IA MSA","96021","*****"
"310M200US11260","11260","Anchorage, AK MSA","399790","*****"
"310M200US11460","11460","Ann Arbor, MI MSA","358880","*****"
"310M200US11500","11500","Anniston-Oxford-Jacksonville, AL MSA","115620","*****"
"310M200US11540","11540","Appleton, WI MSA","233007","*****"
"310M200US11700","11700","Asheville, NC MSA","446840","*****"
"310M200US12020","12020","Athens-Clarke County, GA MSA","201813","2323"
"310M200US12060","12060","Atlanta-Sandy Springs-Roswell, GA MSA","5709731","3035"
"310M200US12100","12100","Atlantic City-Hammonton, NJ MSA","274219","*****"
"310M200US12220","12220","Auburn-Opelika, AL MSA","156993","*****"
"310M200US12260","12260","Augusta-Richmond County, GA-SC MSA","590772","1617"
"310M200US12420","12420","Austin-Round Rock, TX MSA","2000860","*****"
"310M200US12540","12540","Bakersfield, CA MSA","882176","*****"
"310M200US12580","12580","Baltimore-Columbia-Towson, MD MSA","2797407","*****"
"310M200US12620","12620","Bangor, ME MSA","152692","*****"
"310M200US12700","12700","Barnstable Town, MA MSA","214333","*****"
"310M200US12940","12940","Baton Rouge, LA MSA","830480","*****"
"310M200US12980","12980","Battle Creek, MI MSA","134314","*****"
"310M200US13020","13020","Bay City, MI MSA","105659","*****"
"310M200US13140","13140","Beaumont-Port Arthur, TX MSA","408216","2161"
