"area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"C2430","Grand Junction, CO MSA",1.42,1.08,0.9,1.08,0.57,1.13,0.54,3.27,0.93,0.65,NA,0.98,1.13,0.38
"C2434","Grand Rapids-Wyoming, MI MSA",0.84,1.04,0.75,1.77,0.47,0.81,2.38,0.97,1,1.06,NA,0.94,0.92,0.59
"C2442","Grants Pass, OR MSA",0.71,1.24,0.78,1.14,0.51,1.09,1.33,1.3,1.59,0.57,NA,0.99,1.06,0.07
"C2450","Great Falls, MT MSA",1.36,1.21,1,0.7,0.81,1.29,0.41,0.33,1.14,0.66,NA,1.05,1.13,0.03
"C2454","Greeley, CO MSA",2.04,0.6,0.76,2.24,0.33,0.77,1.42,7.89,0.73,0.7,NA,0.74,0.92,0.06
"C2522","Hammond, LA MSA",0.54,0.98,0.61,0.61,0.46,1.13,0.67,0.42,1.12,0.41,NA,0.96,1.38,0.22
"C2526","Hanford-Corcoran, CA MSA",0.43,0.89,0.39,1.94,0.25,0.65,1.2,11.28,0.37,0.21,NA,0.57,0.65,1.21
"C2550","Harrisonburg, VA MSA",1.15,0.87,0.58,1.58,0.87,1.2,1.83,1.44,0.66,0.43,NA,0.86,1.08,0.16
"C2614","Homosassa Springs, FL MSA",1.74,1.58,0.6,0.68,0.56,1.24,0.15,0.45,0.91,0.64,NA,1.09,1.2,0.18
"C2638","Houma-Thibodaux, LA MSA",1.14,0.7,0.8,1.6,0.31,0.81,1.15,5.9,0.68,0.62,NA,0.91,1.47,0.02
"C2682","Idaho Falls, ID MSA",1.13,0.97,0.57,0.97,0.73,0.87,0.76,1.73,0.72,1.36,NA,1.04,1.21,0
"C2706","Ithaca, NY MSA",0.41,2.79,0.6,0.69,0.45,0.82,0.77,1.12,1.06,0.48,NA,1.11,0.64,0.85
"C2710","Jackson, MI MSA",0.65,1.14,0.53,1.38,0.29,0.81,1.95,0.24,1.11,0.81,NA,0.94,1.14,0.48
"C2726","Jacksonville, FL MSA",1.22,1.02,1.65,0.71,0.73,1.19,0.54,0.15,0.93,1.06,NA,1.11,1.08,0.25
"C2802","Kalamazoo-Portage, MI MSA",0.85,1.06,1.06,1.43,0.33,1.03,1.7,1.62,0.99,0.78,NA,0.94,0.95,0.35
"C2810","Kankakee, IL MSA",0.6,1.32,0.76,1.15,0.52,0.82,1.51,0.67,0.88,0.48,NA,0.96,1.22,0.78
"C2866","Killeen-Temple, TX MSA",1.16,1.07,0.88,0.76,0.56,0.96,0.62,0.3,0.91,0.5,NA,0.88,1,0.1
"C2874","Kingston, NY MSA",0.88,1.13,0.67,0.78,0.73,1.17,0.64,1.28,1.2,0.51,NA,0.95,1.07,1.89
"C2902","Kokomo, IN MSA",0.54,0.94,0.52,2.24,0.28,1.01,3.47,0.16,0.86,0.48,NA,0.78,0.87,0
"C2910","La Crosse-Onalaska, WI-MN MSA",0.82,1.43,0.92,1.04,0.76,1.01,1.29,0.22,1.13,0.59,NA,1.02,1.08,0
"C2918","Lafayette, LA MSA",1.17,0.92,0.94,1.58,0.63,0.97,0.97,6.63,0.73,0.76,NA,0.92,1.08,0.08
"C2942","Lake Havasu City-Kingman, AZ MSA",1.02,1.21,0.63,0.79,0.73,1.37,0.71,0.52,1.06,0.49,NA,1.03,1.23,1.66
"C2946","Lakeland-Winter Haven, FL MSA",1.16,0.98,1.01,1.07,0.39,0.99,0.91,1.71,0.77,0.87,NA,1.01,1.28,0.27
"C2962","Lansing-East Lansing, MI MSA",0.68,0.96,1.18,0.91,0.68,0.84,1.08,0.54,1.22,0.72,NA,0.89,0.87,0.68
"C2970","Laredo, TX MSA",0.41,1.03,0.7,0.36,0.32,1.01,0.08,1.86,0.55,0.58,NA,1.03,1.63,0.02
"C2982","Las Vegas-Henderson-Paradise, NV MSA",1.22,0.62,0.87,0.54,0.59,2.87,0.27,0.04,0.79,0.99,NA,1.16,0.97,0.18
"C3034","Lewiston-Auburn, ME MSA",1.05,1.51,0.76,1.09,0.55,0.68,1.19,0.61,0.72,1.03,NA,1.05,1.09,0.01
"C3046","Lexington-Fayette, KY MSA",0.93,0.81,0.63,1.2,1.01,1.07,1.33,1.23,0.78,1.01,NA,0.92,0.97,0.13
"C3062","Lima, OH MSA",0.79,1.37,0.47,1.46,0.62,0.94,2.01,0.22,1.16,0.66,NA,0.95,0.99,0.02
"C3086","Logan, UT-ID MSA",0.98,0.8,0.64,1.76,0.74,0.82,2.32,0.83,0.54,0.76,NA,0.78,0.85,0.01
"C3098","Longview, TX MSA",2.25,1.02,0.72,1.81,0.67,0.82,1.17,4.37,0.73,0.64,NA,0.87,1.06,0.08
"C3108","Los Angeles-Long Beach-Anaheim, CA MSA",0.81,1.06,1.02,0.86,2.01,1.1,1.01,0.14,1.07,1.09,NA,1.07,0.96,3.47
"C3146","Madera, CA MSA",0.68,1.08,0.32,2.33,0.41,0.62,0.88,16.56,0.61,0.42,NA,0.65,0.61,1.9
"C3154","Madison, WI MSA",0.88,0.77,1.1,0.93,2.16,0.89,1.02,0.55,1.04,0.92,NA,0.93,0.89,0
"C3170","Manchester-Nashua, NH MSA",0.77,1.15,1.13,1.09,1.32,0.86,1.42,0.08,1.11,1,NA,1.05,1.05,0.06
"C3190","Mansfield, OH MSA",0.87,1.04,0.5,1.58,0.7,0.93,2.17,0.2,0.87,0.71,NA,0.88,1,0.03
"C3258","McAllen-Edinburg-Mission, TX MSA",0.6,1.72,0.64,0.52,0.45,0.86,0.31,1.55,0.52,0.45,NA,0.99,1.14,0.16
"C3278","Medford, OR MSA",0.91,1.16,0.68,1.09,0.8,1.16,1.03,2.03,1.3,0.6,NA,1,1.17,0.04
"C3282","Memphis, TN-MS-AR MSA",0.76,0.97,0.77,0.76,0.48,1,0.86,0.17,0.81,1.09,NA,1.08,1.41,0.02
"C3290","Merced, CA MSA",0.54,0.77,0.36,2.27,0.22,0.65,1.44,12.9,0.5,0.35,NA,0.63,0.83,1.49
"C3310","Miami-Fort Lauderdale-West Palm Beach, FL MSA",0.99,0.98,1.23,0.58,0.96,1.17,0.39,0.46,1.26,1.11,NA,1.13,1.22,0.58
"C3322","Midland, MI MSA",1.35,1.14,0.49,1.59,1.13,0.81,1.94,0.21,1.95,1.36,NA,0.98,0.64,0.8
"C3334","Milwaukee-Waukesha-West Allis, WI MSA",0.75,1.24,1.12,1.24,0.87,0.86,1.68,0.12,1.11,1.06,NA,1.02,0.91,0.03
"C3354","Missoula, MT MSA",1.01,1.18,0.83,0.61,0.81,1.3,0.4,0.62,1.56,0.8,NA,1.07,1.08,0.02
"C3370","Modesto, CA MSA",1.02,1.1,0.51,1.66,0.26,0.91,1.34,5.67,0.77,0.56,NA,0.86,1.03,2.06
"C3378","Monroe, MI MSA",1.09,0.9,0.42,1.32,0.31,1.02,1.5,0.95,0.9,0.75,NA,0.97,1.42,0.37
"C3406","Morgantown, WV MSA",1.14,1.41,0.45,0.93,0.63,1.1,0.84,0.83,0.96,0.69,NA,0.93,0.78,0.07
"C3474","Muskegon, MI MSA",0.67,1.17,0.47,1.73,0.6,1.01,2.47,0.63,0.92,0.45,NA,0.9,1.11,0.39
"C3490","Napa, CA MSA",1.21,0.82,0.55,1.9,0.3,1.54,1.81,4.65,0.88,0.65,NA,0.83,0.69,2.38
"C3494","Naples-Immokalee-Marco Island, FL MSA",2.15,0.95,1.03,1.05,0.54,1.8,0.28,2.21,1.43,0.77,NA,1.07,1,0.09
"C3530","New Haven-Milford, CT MSA",0.8,1.74,0.81,0.83,0.64,0.8,0.96,0.19,1.25,0.8,NA,1.06,0.96,0.12
"C3562","New York-Newark-Jersey City, NY-NJ-PA MSA",0.86,1.24,1.47,0.55,1.51,0.89,0.46,0.07,1.3,1.11,NA,1.12,0.97,2.64
"C3566","Niles-Benton Harbor, MI MSA",0.6,0.95,0.6,1.75,0.37,1.08,2.41,1.38,0.94,0.73,NA,0.86,0.88,0.74
"C3584","North Port-Sarasota-Bradenton, FL MSA",1.56,1.19,0.92,1,0.63,1.41,0.66,1.3,1.14,0.92,NA,1.08,1.02,0.28
"C3598","Norwich-New London, CT MSA",0.66,1.04,0.4,1.1,0.42,1.1,1.4,0.66,0.95,0.49,NA,0.83,0.94,0.1
"C3610","Ocala, FL MSA",1.39,1.18,0.73,1.09,0.41,1.12,0.88,1.37,0.86,0.64,NA,0.99,1.19,0.36
"C3614","Ocean City, NJ MSA",1.11,0.77,0.73,0.52,0.28,2.53,0.24,0.39,1.13,0.4,NA,1.03,0.97,3.54
"C3622","Odessa, TX MSA",2.06,0.47,0.84,2.04,0.28,1,0.8,9.59,1.29,0.4,NA,0.81,1.24,0.02
"C3650","Olympia-Tumwater, WA MSA",0.89,0.94,0.63,0.6,0.44,0.83,0.35,1.14,1.07,0.69,NA,0.82,0.87,0.01
"C3674","Orlando-Kissimmee-Sanford, FL MSA",1.16,0.83,1.12,0.64,1.04,1.98,0.41,0.34,0.95,1.14,NA,1.15,1,0.3
"C3710","Oxnard-Thousand Oaks-Ventura, CA MSA",0.97,0.86,0.99,1.52,0.81,1.04,1.08,6.01,0.84,0.78,NA,0.91,0.96,2.6
"C3734","Palm Bay-Melbourne-Titusville, FL MSA",1.21,1.12,0.62,1.1,0.55,1.2,1.21,0.09,1,0.98,NA,0.99,0.94,0.16
"C3746","Panama City, FL MSA",1.16,0.89,0.96,0.69,0.66,1.61,0.51,0.3,0.86,0.85,NA,1.04,1.06,0.23
"C3786","Pensacola-Ferry Pass-Brent, FL MSA",1.29,1.11,1.26,0.67,0.7,1.22,0.42,0.23,0.95,0.91,NA,1.05,1,0.36
"C3806","Phoenix-Mesa-Scottsdale, AZ MSA",1.13,0.98,1.53,0.82,0.96,1.02,0.72,0.44,0.88,1.19,NA,1.09,1.03,1.95
"C3890","Portland-Vancouver-Hillsboro, OR-WA MSA",1.08,0.93,0.95,1.16,1.09,0.95,1.26,0.86,1.28,1.09,NA,1,0.97,0.07
"C3894","Port St. Lucie, FL MSA",1.38,1.21,0.68,0.83,0.46,1.23,0.53,0.94,1.37,0.81,NA,1.06,1.14,0.6
"C3914","Prescott, AZ MSA",1.34,1.26,0.55,0.94,0.47,1.38,0.63,1.49,0.87,0.48,NA,0.98,1.08,1.73
"C3938","Pueblo, CO MSA",1.21,1.31,0.51,0.91,0.57,1.03,0.87,0.22,0.75,0.84,NA,0.95,0.92,0.05
"C3946","Punta Gorda, FL MSA",1.63,1.32,0.75,0.7,0.49,1.39,0.2,0.82,1.09,0.67,NA,1.09,1.23,0.06
"C3958","Raleigh, NC MSA",1.26,0.79,0.91,0.82,1.75,1.05,0.68,0.24,0.95,1.37,NA,1.03,0.95,0
"C3982","Redding, CA MSA",0.87,1.44,0.72,0.66,0.56,0.96,0.42,1.44,0.95,0.7,NA,1,1.03,2.46
"C4014","Riverside-San Bernardino-Ontario, CA MSA",1.37,0.95,0.57,0.98,0.43,1.03,0.8,0.83,0.9,0.77,NA,0.97,1.27,2.54
"C4038","Rochester, NY MSA",0.81,1.38,0.76,1.12,0.88,0.83,1.33,0.75,1.16,0.92,NA,0.98,0.84,0.93
"C4042","Rockford, IL MSA",0.7,1.06,0.64,1.72,0.51,0.87,2.5,0.19,1.1,0.75,NA,0.91,1.03,0.35
"C4066","Rome, GA MSA",0.44,1.58,0.56,1.2,1.04,0.9,1.76,0.21,0.69,0.46,NA,0.97,1.05,0.94
"C4090","Sacramento--Roseville--Arden-Arcade, CA MSA",1.17,0.98,0.97,0.7,0.69,0.95,0.44,0.74,0.98,0.93,NA,0.91,0.82,2.22
"C4098","Saginaw, MI MSA",0.68,1.23,0.71,1.21,0.74,0.97,1.64,0.31,0.95,0.93,NA,1,1.01,0.44
"C4110","St. George, UT MSA",1.97,1.13,0.7,1.01,0.68,1.4,0.63,0.33,0.85,0.57,NA,1.02,1.21,0.03
"C4142","Salem, OR MSA",1.13,0.96,0.63,1.38,0.31,0.81,0.89,5.17,1.28,0.56,NA,0.78,0.81,0.02
"C4150","Salinas, CA MSA",0.61,0.64,0.39,2.32,0.36,1.16,0.34,20.03,0.84,0.49,NA,0.7,0.73,1.49
"C4162","Salt Lake City, UT MSA",1.12,0.75,1.44,0.93,1.3,0.8,0.93,0.32,0.87,1.25,NA,1.02,1.06,0.07
"C4170","San Antonio-New Braunfels, TX MSA",1.13,1,1.47,0.75,1.13,1.2,0.55,0.72,0.93,0.9,NA,1.03,0.92,0.14
"C4174","San Diego-Carlsbad, CA MSA",1.09,0.9,0.92,0.9,0.87,1.23,0.86,0.48,1.17,1.19,NA,1.01,0.83,3.02
"C4186","San Francisco-Oakland-Hayward, CA MSA",1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,NA,1.09,0.84,3.08
"C4202","San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",1.23,0.79,0.64,1.1,0.63,1.41,0.69,3.14,1.51,0.79,NA,0.95,0.94,2.95
"C4210","Santa Cruz-Watsonville, CA MSA",0.78,1.08,0.63,1.23,0.42,1.24,0.74,5.73,1.27,0.69,NA,0.93,0.87,3.1
"C4220","Santa Maria-Santa Barbara, CA MSA",0.87,0.86,0.59,1.48,1.13,1.26,0.75,7.89,0.96,0.81,NA,0.87,0.75,2.13
"C4222","Santa Rosa, CA MSA",1.27,1.06,0.72,1.34,0.7,1.14,1.24,2.19,1.09,0.73,NA,0.95,0.96,2.84
"C4234","Savannah, GA MSA",0.8,0.97,0.65,0.98,0.59,1.42,1.21,0.11,0.98,0.76,NA,1.03,1.2,1.66
"C4266","Seattle-Tacoma-Bellevue, WA MSA",1.2,0.87,0.89,1.08,2.69,0.92,1.15,0.2,1.05,1.02,NA,1,0.99,0
"C4268","Sebastian-Vero Beach, FL MSA",1.45,1.29,0.93,0.96,0.59,1.41,0.46,2.51,1.41,0.69,NA,1.08,1.07,0.18
"C4270","Sebring, FL MSA",0.89,1.39,0.53,1.16,0.31,1.01,0.28,7.41,0.73,0.68,NA,0.96,1.05,0.09
"C4330","Sherman-Denison, TX MSA",1.24,1.38,1.15,1.28,0.49,1.02,1.39,0.76,0.72,0.46,NA,0.95,0.96,0.1
"C4342","Sierra Vista-Douglas, AZ MSA",0.75,0.85,0.49,0.57,0.67,1.02,0.18,2.4,0.58,0.83,NA,0.84,0.9,0.29
"C4378","South Bend-Mishawaka, IN-MI MSA",0.81,1.58,0.7,1.19,0.63,0.96,1.53,0.26,1.04,0.68,NA,1.02,0.98,0.25
"C4470","Stockton-Lodi, CA MSA",0.95,0.99,0.56,1.31,0.43,0.78,0.9,5.01,0.89,0.59,NA,0.91,1.29,1.74
"C4506","Syracuse, NY MSA",0.85,1.18,0.91,0.85,0.72,0.92,0.93,0.37,1.11,0.76,NA,1,1.1,0.83
"C4530","Tampa-St. Petersburg-Clearwater, FL MSA",1.14,1.05,1.45,0.76,1.03,1.11,0.58,0.61,0.93,1.18,NA,1.1,1.02,0.31
"C4554","The Villages, FL MSA",2.32,1.16,0.75,1.13,0.13,1.41,0.5,1.16,0.58,0.42,NA,0.92,1.01,0.16
"C4578","Toledo, OH MSA",0.92,1.12,0.58,1.33,0.5,1.03,1.71,0.28,0.99,0.87,NA,0.95,1,0.07
"C4594","Trenton, NJ MSA",0.45,1.11,1.32,0.37,1,0.58,0.37,0.06,0.99,1.12,NA,0.95,0.77,1.53
"C4606","Tucson, AZ MSA",0.89,1.16,0.81,0.75,0.64,1.11,0.72,0.57,0.98,1,NA,0.99,0.87,2.01
"C4634","Tyler, TX MSA",0.86,1.46,0.84,0.9,1.13,0.98,0.7,2.28,1.13,0.6,NA,1.04,1.13,0.08
"C4652","Urban Honolulu, HI MSA",1.19,0.89,0.78,0.56,0.79,1.36,0.27,0.33,1.37,1.03,NA,1.01,0.95,0
"C4654","Utica-Rome, NY MSA",0.53,1.38,0.99,0.82,0.7,0.81,1.06,0.32,0.91,0.47,NA,0.9,0.89,0.79
"C4670","Vallejo-Fairfield, CA MSA",1.47,1.22,0.66,1.15,0.42,1.03,1,1.08,0.9,0.52,NA,0.93,1.06,2.02
"C4722","Vineland-Bridgeton, NJ MSA",0.93,1.11,0.39,1.64,0.4,0.57,1.63,4.03,0.81,0.42,NA,0.8,1.1,1.76
"C4730","Visalia-Porterville, CA MSA",0.66,0.55,0.46,2.41,0.32,0.65,0.88,17.41,0.61,0.44,NA,0.64,0.93,1.7
"C4738","Waco, TX MSA",1.27,1.04,0.96,1.41,0.49,0.93,1.66,0.34,0.83,0.72,NA,0.9,0.94,0.09
"C4746","Walla Walla, WA MSA",0.72,1.28,0.56,1.95,0.62,0.69,1.44,9.06,0.77,0.25,NA,0.72,0.68,0.19
"C4806","Watertown-Fort Drum, NY MSA",0.9,1.02,0.52,0.76,0.8,1.06,0.66,0.89,1.14,0.37,NA,0.88,1.1,0.83
"C4966","Youngstown-Warren-Boardman, OH-PA MSA",0.84,1.27,0.59,1.25,0.44,1.03,1.61,0.35,0.95,0.69,NA,0.98,1.12,0.04
"C4970","Yuba City, CA MSA",0.86,1.04,0.54,1.34,0.38,0.88,0.55,7.74,0.63,0.48,NA,0.81,0.97,2.17
"C4974","Yuma, AZ MSA",0.77,0.72,0.48,1.84,0.39,0.8,0.38,14.23,0.58,0.72,NA,0.72,0.82,0.67
