"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"42","C1398","Blacksburg-Christiansburg-Radford, VA MSA",0.63,0.69,0.54,1.39,NA,1.01,1.94,0.44,0.77,0.61,NA,0.74,0.79,NA
"43","C1401","Bloomington, IL MSA",0.68,0.78,3.83,0.61,0.42,1.15,0.58,0.52,1.05,0.74,NA,1.1,0.86,0.26
"44","C1402","Bloomington, IN MSA",0.79,0.92,0.71,1.15,NA,1.17,1.47,0.33,NA,0.44,NA,0.82,0.81,NA
"45","C1406","Bloomington-Normal, IL MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C1410","Bloomsburg-Berwick, PA MSA",0.56,1.8,0.85,1.17,NA,0.81,1.59,0.55,NA,0.72,NA,1,0.82,NA
"47","C1426","Boise City, ID MSA",1.28,1.02,NA,1.13,NA,0.92,1,1.43,0.87,0.98,NA,0.97,1.04,0
"48","C1446","Boston-Cambridge-Newton, MA-NH MSA",NA,1.37,1.24,0.74,1.54,0.93,NA,NA,1.09,1.25,NA,1.11,0.82,0
"49","C1450","Boulder, CO MSA",0.63,0.89,0.7,0.91,2.32,1.07,1.16,0.3,0.95,1.4,NA,1,0.73,0.13
"50","C1454","Bowling Green, KY MSA",NA,0.93,0.69,1.39,NA,1.08,NA,0.27,NA,NA,NA,0.9,0.99,0.13
"51","C1474","Bremerton-Silverdale, WA MSA",0.97,1.03,0.54,0.5,0.76,0.95,0.3,0.2,0.85,0.56,NA,0.8,0.79,NA
"52","C1486","Bridgeport-Stamford-Norwalk, CT MSA",0.65,1.16,1.7,0.75,1.51,0.92,0.91,0.07,1.39,1.13,NA,1.11,0.92,0.23
"53","C1498","Bristol, VA MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","C1518","Brownsville-Harlingen, TX MSA",0.48,1.75,0.65,0.48,0.44,0.99,0.49,0.37,0.54,0.58,NA,1.01,1.01,0.23
"55","C1526","Brunswick, GA MSA",0.79,0.52,0.52,0.65,0.55,2.02,NA,NA,0.94,0.58,NA,0.94,1.08,1.8
"56","C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA",0.81,1.09,1.1,0.93,0.67,1.01,1.1,0.24,1.2,0.92,NA,1.01,0.98,1.08
"57","C1550","Burlington, NC MSA",0.93,1.32,0.56,1.34,0.41,1.14,1.75,0.13,0.76,0.68,NA,0.98,1.06,NA
"58","C1554","Burlington-South Burlington, VT MSA",1.03,NA,0.68,1.09,NA,0.91,1.22,0.46,0.94,0.83,NA,0.94,0.97,NA
"59","C1568","California-Lexington Park, MD MSA",0.9,0.68,0.31,0.35,0.2,0.8,0.1,0.12,0.73,1.61,NA,0.88,0.83,NA
"60","C1594","Canton-Massillon, OH MSA",0.96,1.25,0.8,1.5,0.49,1.05,1.93,0.59,1.11,0.58,NA,0.94,0.98,0.06
"61","C1598","Cape Coral-Fort Myers, FL MSA",1.99,0.74,0.87,0.86,0.65,1.54,0.26,0.98,1.05,0.9,NA,1.02,1.11,0.1
"62","C1602","Cape Girardeau, MO-IL MSA",NA,1.49,0.61,0.96,NA,1.04,1.1,NA,NA,0.59,NA,1.02,1.15,0
"63","C1606","Carbondale-Marion, IL MSA",0.8,1.11,0.88,0.89,0.77,1.01,0.81,1.67,0.66,0.5,NA,0.87,0.91,0.26
"64","C1618","Carson City, NV MSA",0.78,0.9,0.68,0.88,0.42,1.15,1.06,0.12,0.72,0.48,NA,0.77,0.74,0.17
"65","C1622","Casper, WY MSA",1.74,0.97,0.86,1.41,0.52,1.04,0.45,6.24,1.23,0.52,NA,0.93,1.17,NA
"66","C1630","Cedar Rapids, IA MSA",1.18,0.89,1.36,1.36,1.61,0.79,1.61,0.33,0.98,0.69,NA,0.98,1.19,NA
"67","C1654","Chambersburg-Waynesboro, PA MSA",0.7,1.06,0.41,1.44,0.32,0.81,1.86,1.22,1.03,0.66,NA,0.93,1.32,NA
"68","C1658","Champaign-Urbana, IL MSA",0.72,0.96,0.76,0.83,NA,1.07,0.95,0.42,0.72,0.54,NA,0.85,0.88,NA
"69","C1662","Charleston, WV MSA",NA,1.25,NA,0.71,0.81,NA,NA,2.33,1.05,0.87,NA,0.97,0.92,0.04
"70","C1670","Charleston-North Charleston, SC MSA",1.13,0.73,0.76,0.91,0.82,1.29,0.92,0.11,0.92,1.04,NA,0.96,1,NA
"71","C1674","Charlotte-Concord-Gastonia, NC-SC MSA",1.1,0.67,NA,1.01,NA,1.05,1.09,0.24,0.8,1.21,NA,1.03,1.09,NA
"72","C1682","Charlottesville, VA MSA",1.05,0.79,0.69,0.66,NA,1.12,0.43,0.88,1.33,0.92,NA,0.86,0.68,NA
"73","C1686","Chattanooga, TN-GA MSA",NA,0.89,1.04,1.21,0.64,1.05,1.56,NA,0.96,0.83,NA,0.96,1.08,0.22
"74","C1694","Cheyenne, WY MSA",1.58,0.61,0.88,0.8,1.29,0.97,0.33,1.21,0.87,0.51,NA,0.83,1.12,NA
"75","C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA",0.78,1.03,1.13,0.88,NA,0.94,1.06,0.11,NA,1.24,NA,1.07,1.06,0.77
"76","C1702","Chico, CA MSA",0.89,1.48,0.78,0.9,0.67,0.97,0.6,2.78,1.45,0.5,NA,0.97,0.91,2.07
"77","C1714","Cincinnati, OH-KY-IN MSA",0.88,1.03,1.1,1.04,0.65,NA,NA,NA,NA,NA,NA,1.04,1.03,0.1
"78","C1730","Clarksville, TN-KY MSA",0.69,0.88,0.65,1.08,0.69,1.16,1.38,0.5,0.71,0.7,NA,0.89,1,0.07
"79","C1742","Cleveland, TN MSA",0.92,0.84,0.56,1.77,0.33,0.97,2.41,0.58,0.83,0.95,NA,0.88,0.97,NA
"80","C1746","Cleveland-Elyria, OH MSA",0.74,1.26,1.06,1.09,0.69,0.92,1.41,0.22,0.95,1,NA,1.01,0.92,0.15
"81","C1766","Coeur d'Alene, ID MSA",1.51,0.85,0.9,1.09,0.49,1.36,0.97,0.47,0.76,0.71,NA,0.93,1.01,0
"82","C1778","College Station-Bryan, TX MSA",1.02,0.67,0.64,0.87,0.62,1.24,0.58,2.17,0.78,0.52,NA,0.76,0.78,0.09
"83","C1782","Colorado Springs, CO MSA",1.19,0.88,1.09,0.69,1.26,1.23,NA,NA,1.29,1.16,NA,1.02,0.83,0.1
"84","C1786","Columbia, MO MSA",0.81,0.87,0.95,0.56,0.72,1.1,0.5,0.15,0.78,0.85,NA,0.9,0.9,0
"85","C1790","Columbia, SC MSA",0.81,0.78,NA,0.88,NA,0.93,0.97,0.61,0.93,0.87,NA,0.92,0.98,NA
"86","C1798","Columbus, GA-AL MSA",0.73,0.88,NA,0.85,0.6,1.17,NA,NA,0.86,0.74,NA,0.96,0.82,NA
