"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"179","C2714","Jackson, MS MSA",0.78,1.06,0.99,0.8,1.03,0.9,0.84,0.68,0.74,0.8,NA,0.94,1,NA
"180","C2718","Jackson, TN MSA",NA,1.04,0.52,1.35,NA,0.86,1.77,NA,NA,0.71,NA,0.84,0.99,NA
"181","C2726","Jacksonville, FL MSA",1.22,1.02,1.65,0.71,0.73,1.19,0.54,0.15,0.93,1.06,NA,1.11,1.08,0.25
"182","C2734","Jacksonville, NC MSA",1.04,0.54,0.63,0.49,0.38,1.55,0.22,0.35,0.75,0.8,NA,0.9,1.07,NA
"183","C2750","Janesville-Beloit, WI MSA",0.97,1.05,0.48,1.36,1.21,0.95,1.69,0.66,0.83,0.66,NA,0.96,1.25,NA
"184","C2762","Jefferson City, MO MSA",0.97,0.76,0.66,0.87,NA,0.68,0.86,0.59,NA,0.58,NA,0.76,0.96,NA
"185","C2774","Johnson City, TN MSA",0.66,1.17,0.91,0.88,0.98,1.1,1.13,0.11,0.99,0.74,NA,0.96,0.9,NA
"186","C2778","Johnstown, PA MSA",0.65,1.79,0.86,0.73,0.67,0.76,0.84,0.37,1.24,0.72,NA,1.07,1.03,NA
"187","C2786","Jonesboro, AR MSA",0.86,1.32,0.6,1.21,0.47,0.95,1.43,0.98,0.54,0.6,NA,0.95,1.14,NA
"188","C2790","Joplin, MO MSA",0.71,1.06,0.54,1.41,0.47,0.84,1.93,0.46,0.84,0.67,NA,0.96,1.37,NA
"189","C2798","Kahului-Wailuku-Lahaina, HI MSA",1.09,0.58,0.67,0.58,0.38,2.91,0.19,1.37,1.23,0.67,NA,1.12,1.07,NA
"190","C2802","Kalamazoo-Portage, MI MSA",0.85,1.06,1.06,1.43,0.33,1.03,1.7,1.62,0.99,0.78,NA,0.94,0.95,0.35
"191","C2810","Kankakee, IL MSA",0.6,1.32,0.76,1.15,0.52,0.82,1.51,0.67,0.88,0.48,NA,0.96,1.22,0.78
"192","C2814","Kansas City, MO-KS MSA",0.95,NA,1.26,0.81,NA,NA,0.84,0.16,0.86,1.26,NA,1.05,1.05,NA
"193","C2842","Kennewick-Richland, WA MSA",1.19,0.79,0.56,1.57,0.37,0.81,0.77,7.72,0.67,1.28,NA,0.87,0.83,NA
"194","C2866","Killeen-Temple, TX MSA",1.16,1.07,0.88,0.76,0.56,0.96,0.62,0.3,0.91,0.5,NA,0.88,1,0.1
"195","C2870","Kingsport-Bristol-Bristol, TN-VA MSA",NA,1.03,0.5,1.67,NA,0.99,2.12,NA,NA,0.58,NA,0.88,1.05,NA
"196","C2874","Kingston, NY MSA",0.88,1.13,0.67,0.78,0.73,1.17,0.64,1.28,1.2,0.51,NA,0.95,1.07,1.89
"197","C2894","Knoxville, TN MSA",NA,0.92,0.85,0.99,0.76,1.02,1.1,NA,0.83,1.14,NA,1,1.06,0.02
"198","C2902","Kokomo, IN MSA",0.54,0.94,0.52,2.24,0.28,1.01,3.47,0.16,0.86,0.48,NA,0.78,0.87,0
"199","C2910","La Crosse-Onalaska, WI-MN MSA",0.82,1.43,0.92,1.04,0.76,1.01,1.29,0.22,1.13,0.59,NA,1.02,1.08,0
"200","C2914","Lafayette, IN MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","C2918","Lafayette, LA MSA",1.17,0.92,0.94,1.58,0.63,0.97,0.97,6.63,0.73,0.76,NA,0.92,1.08,0.08
"202","C2920","Lafayette-West Lafayette, IN MSA",0.78,0.83,0.68,1.59,NA,NA,NA,NA,0.82,NA,NA,0.78,0.84,0
"203","C2934","Lake Charles, LA MSA",3.25,0.85,0.54,1.75,NA,1.38,1.18,0.47,NA,0.68,NA,0.86,0.9,0.05
"204","C2942","Lake Havasu City-Kingman, AZ MSA",1.02,1.21,0.63,0.79,0.73,1.37,0.71,0.52,1.06,0.49,NA,1.03,1.23,1.66
"205","C2946","Lakeland-Winter Haven, FL MSA",1.16,0.98,1.01,1.07,0.39,0.99,0.91,1.71,0.77,0.87,NA,1.01,1.28,0.27
"206","C2954","Lancaster, PA MSA",1.4,1.16,0.65,1.58,0.66,0.94,1.8,0.88,1.04,0.69,NA,0.98,1.19,NA
"207","C2962","Lansing-East Lansing, MI MSA",0.68,0.96,1.18,0.91,0.68,0.84,1.08,0.54,1.22,0.72,NA,0.89,0.87,0.68
"208","C2970","Laredo, TX MSA",0.41,1.03,0.7,0.36,0.32,1.01,0.08,1.86,0.55,0.58,NA,1.03,1.63,0.02
"209","C2974","Las Cruces, NM MSA",1.08,1.3,0.65,0.87,0.6,1.02,0.36,3.35,0.55,0.69,NA,0.89,0.79,NA
"210","C2982","Las Vegas-Henderson-Paradise, NV MSA",1.22,0.62,0.87,0.54,0.59,2.87,0.27,0.04,0.79,0.99,NA,1.16,0.97,0.18
"211","C2994","Lawrence, KS MSA",0.75,0.75,0.59,0.78,0.76,1.32,0.89,0.16,1.77,0.79,NA,0.9,0.85,NA
"212","C3002","Lawton, OK MSA",0.81,0.58,0.86,0.81,NA,1.06,NA,NA,NA,0.77,NA,0.79,0.88,NA
"213","C3014","Lebanon, PA MSA",0.76,1.09,0.43,1.48,0.79,0.71,2.02,0.53,0.93,0.55,NA,0.88,1.2,NA
"214","C3030","Lewiston, ID-WA MSA",0.96,1.15,0.94,1.44,0.75,0.89,1.77,0.94,0.84,0.35,NA,0.86,0.98,NA
"215","C3034","Lewiston-Auburn, ME MSA",1.05,1.51,0.76,1.09,0.55,0.68,1.19,0.61,0.72,1.03,NA,1.05,1.09,0.01
"216","C3046","Lexington-Fayette, KY MSA",0.93,0.81,0.63,1.2,1.01,1.07,1.33,1.23,0.78,1.01,NA,0.92,0.97,0.13
"217","C3062","Lima, OH MSA",0.79,1.37,0.47,1.46,0.62,0.94,2.01,0.22,1.16,0.66,NA,0.95,0.99,0.02
"218","C3070","Lincoln, NE MSA",1.06,0.98,1.32,0.89,0.75,0.96,0.91,0.25,0.94,0.8,NA,0.96,1,NA
"219","C3078","Little Rock-North Little Rock-Conway, AR MSA",0.95,1.03,NA,0.76,0.94,0.93,0.7,0.51,NA,0.91,NA,0.98,1.03,NA
"220","C3086","Logan, UT-ID MSA",0.98,0.8,0.64,1.76,0.74,0.82,2.32,0.83,0.54,0.76,NA,0.78,0.85,0.01
"221","C3098","Longview, TX MSA",2.25,1.02,0.72,1.81,0.67,0.82,1.17,4.37,0.73,0.64,NA,0.87,1.06,0.08
"222","C3102","Longview, WA MSA",1.26,1.11,0.58,1.75,0.4,0.86,1.94,2.17,0.83,0.41,NA,0.84,1.06,NA
"223","C3108","Los Angeles-Long Beach-Anaheim, CA MSA",0.81,1.06,1.02,0.86,2.01,1.1,1.01,0.14,1.07,1.09,NA,1.07,0.96,3.47
"224","C3110","Los Angeles-Long Beach-Santa Ana, CA MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","C3114","Louisville-Jefferson County, KY-IN MSA",NA,NA,1.28,1.15,0.72,1,NA,0.14,NA,0.93,NA,1.02,1.17,0.09
"226","C3118","Lubbock, TX MSA",NA,1.04,0.99,0.65,NA,1.18,NA,1.05,1.05,0.56,NA,0.99,1.12,NA
"227","C3134","Lynchburg, VA MSA",NA,1.13,0.77,1.39,NA,0.9,1.65,NA,1.02,0.81,NA,0.94,0.99,NA
"228","C3142","Macon, GA MSA",NA,1.33,NA,0.67,0.75,0.92,NA,0.69,0.69,0.82,NA,1.08,1.07,NA
"229","C3146","Madera, CA MSA",0.68,1.08,0.32,2.33,0.41,0.62,0.88,16.56,0.61,0.42,NA,0.65,0.61,1.9
"230","C3154","Madison, WI MSA",0.88,0.77,1.1,0.93,2.16,0.89,1.02,0.55,1.04,0.92,NA,0.93,0.89,0
"231","C3170","Manchester-Nashua, NH MSA",0.77,1.15,1.13,1.09,1.32,0.86,1.42,0.08,1.11,1,NA,1.05,1.05,0.06
"232","C3174","Manhattan, KS MSA",1.19,0.85,0.81,0.99,0.75,1.18,0.92,0.8,1.18,0.44,NA,0.85,0.95,NA
"233","C3186","Mankato-North Mankato, MN MSA",0.87,1.33,0.59,1.35,1.41,0.89,1.66,1.03,1.02,0.48,NA,0.94,1.05,NA
"234","C3190","Mansfield, OH MSA",0.87,1.04,0.5,1.58,0.7,0.93,2.17,0.2,0.87,0.71,NA,0.88,1,0.03
"235","C3242","Mayaguez, PR MSA",0.83,1.14,NA,0.59,NA,0.83,0.53,0.26,0.44,0.87,NA,0.91,1.02,NA
"236","C3258","McAllen-Edinburg-Mission, TX MSA",0.6,1.72,0.64,0.52,0.45,0.86,0.31,1.55,0.52,0.45,NA,0.99,1.14,0.16
"237","C3278","Medford, OR MSA",0.91,1.16,0.68,1.09,0.8,1.16,1.03,2.03,1.3,0.6,NA,1,1.17,0.04
"238","C3282","Memphis, TN-MS-AR MSA",0.76,0.97,0.77,0.76,0.48,1,0.86,0.17,0.81,1.09,NA,1.08,1.41,0.02
"239","C3290","Merced, CA MSA",0.54,0.77,0.36,2.27,0.22,0.65,1.44,12.9,0.5,0.35,NA,0.63,0.83,1.49
"240","C3310","Miami-Fort Lauderdale-West Palm Beach, FL MSA",0.99,0.98,1.23,0.58,0.96,1.17,0.39,0.46,1.26,1.11,NA,1.13,1.22,0.58
"241","C3314","Michigan City-La Porte, IN MSA",1,0.91,0.53,1.63,0.28,1.23,2.14,0.47,1.02,0.46,NA,0.86,1.03,NA
"242","C3322","Midland, MI MSA",1.35,1.14,0.49,1.59,1.13,0.81,1.94,0.21,1.95,1.36,NA,0.98,0.64,0.8
"243","C3326","Midland, TX MSA",NA,0.5,0.8,2.18,NA,0.92,NA,15.98,NA,0.74,NA,0.82,1.09,0.19
"244","C3334","Milwaukee-Waukesha-West Allis, WI MSA",0.75,1.24,1.12,1.24,0.87,0.86,1.68,0.12,1.11,1.06,NA,1.02,0.91,0.03
"245","C3346","Minneapolis-St. Paul-Bloomington, MN-WI MSA",0.86,1.09,1.36,1,1.02,0.89,1.2,0.24,1.07,1.11,NA,1.04,0.95,NA
"246","C3354","Missoula, MT MSA",1.01,1.18,0.83,0.61,0.81,1.3,0.4,0.62,1.56,0.8,NA,1.07,1.08,0.02
"247","C3366","Mobile, AL MSA",1.28,0.96,0.82,1.22,0.56,0.92,1.32,0.42,1.08,0.88,NA,0.96,1.11,NA
"248","C3370","Modesto, CA MSA",1.02,1.1,0.51,1.66,0.26,0.91,1.34,5.67,0.77,0.56,NA,0.86,1.03,2.06
"249","C3374","Monroe, LA MSA",1,1.32,1.11,0.95,1.33,0.94,NA,NA,0.81,0.75,NA,1.02,1,0.08
"250","C3378","Monroe, MI MSA",1.09,0.9,0.42,1.32,0.31,1.02,1.5,0.95,0.9,0.75,NA,0.97,1.42,0.37
"251","C3386","Montgomery, AL MSA",0.72,0.72,0.78,1.03,NA,0.94,1.31,0.29,NA,0.82,NA,0.84,0.92,NA
"252","C3406","Morgantown, WV MSA",1.14,1.41,0.45,0.93,0.63,1.1,0.84,0.83,0.96,0.69,NA,0.93,0.78,0.07
"253","C3410","Morristown, TN MSA",NA,0.79,0.38,2.01,0.41,0.85,2.84,NA,0.51,0.54,NA,0.8,1.18,NA
"254","C3458","Mount Vernon-Anacortes, WA MSA",1.39,0.75,0.71,1.59,0.34,0.91,1.34,3.76,0.93,0.41,NA,0.77,1.03,NA
"255","C3462","Muncie, IN MSA",0.69,1.18,0.93,0.88,0.33,1.05,1.09,0.26,0.8,0.8,NA,0.97,1,NA
"256","C3474","Muskegon, MI MSA",0.67,1.17,0.47,1.73,0.6,1.01,2.47,0.63,0.92,0.45,NA,0.9,1.11,0.39
"257","C3482","Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",1.13,0.67,1.03,0.57,0.8,2.49,0.34,0.23,0.74,0.6,NA,1.11,1.17,NA
"258","C3490","Napa, CA MSA",1.21,0.82,0.55,1.9,0.3,1.54,1.81,4.65,0.88,0.65,NA,0.83,0.69,2.38
"259","C3494","Naples-Immokalee-Marco Island, FL MSA",2.15,0.95,1.03,1.05,0.54,1.8,0.28,2.21,1.43,0.77,NA,1.07,1,0.09
"260","C3498","Nashville-Davidson--Murfreesboro--Franklin, TN MSA",0.94,1.01,NA,0.91,NA,1.07,1.02,0.14,0.96,1.14,NA,1.06,1.03,NA
"261","C3510","New Bern, NC MSA",0.67,0.89,0.47,0.87,NA,1.01,0.96,0.87,NA,0.66,NA,0.8,0.86,NA
"262","C3530","New Haven-Milford, CT MSA",0.8,1.74,0.81,0.83,0.64,0.8,0.96,0.19,1.25,0.8,NA,1.06,0.96,0.12
"263","C3538","New Orleans-Metairie, LA MSA",1.26,1.01,0.87,0.86,0.8,1.43,0.63,0.97,NA,0.96,NA,1.06,1.08,NA
"264","C3562","New York-Newark-Jersey City, NY-NJ-PA MSA",0.86,1.24,1.47,0.55,1.51,0.89,0.46,0.07,1.3,1.11,NA,1.12,0.97,2.64
"265","C3566","Niles-Benton Harbor, MI MSA",0.6,0.95,0.6,1.75,0.37,1.08,2.41,1.38,0.94,0.73,NA,0.86,0.88,0.74
"266","C3584","North Port-Sarasota-Bradenton, FL MSA",1.56,1.19,0.92,1,0.63,1.41,0.66,1.3,1.14,0.92,NA,1.08,1.02,0.28
"267","C3598","Norwich-New London, CT MSA",0.66,1.04,0.4,1.1,0.42,1.1,1.4,0.66,0.95,0.49,NA,0.83,0.94,0.1
"268","C3610","Ocala, FL MSA",1.39,1.18,0.73,1.09,0.41,1.12,0.88,1.37,0.86,0.64,NA,0.99,1.19,0.36
"269","C3614","Ocean City, NJ MSA",1.11,0.77,0.73,0.52,0.28,2.53,0.24,0.39,1.13,0.4,NA,1.03,0.97,3.54
"270","C3622","Odessa, TX MSA",2.06,0.47,0.84,2.04,0.28,1,0.8,9.59,1.29,0.4,NA,0.81,1.24,0.02
"271","C3626","Ogden-Clearfield, UT MSA",1.51,0.82,NA,1.39,NA,0.88,1.48,0.42,0.8,0.84,NA,0.85,0.94,NA
"272","C3642","Oklahoma City, OK MSA",1.06,0.89,0.97,0.98,0.69,1.05,0.71,2.34,0.77,0.96,NA,0.94,0.97,NA
"273","C3650","Olympia-Tumwater, WA MSA",0.89,0.94,0.63,0.6,0.44,0.83,0.35,1.14,1.07,0.69,NA,0.82,0.87,0.01
"274","C3654","Omaha-Council Bluffs, NE-IA MSA",1.18,0.98,1.44,0.86,1.25,0.96,0.79,0.25,0.83,1.12,NA,1.06,1.04,NA
"275","C3674","Orlando-Kissimmee-Sanford, FL MSA",1.16,0.83,1.12,0.64,1.04,1.98,0.41,0.34,0.95,1.14,NA,1.15,1,0.3
"276","C3678","Oshkosh-Neenah, WI MSA",1.09,0.78,0.8,2.03,0.85,0.73,2.8,0.31,1.13,0.88,NA,0.83,0.85,NA
"277","C3698","Owensboro, KY MSA",1.04,1.16,NA,1.5,0.45,0.88,1.82,1.06,0.93,0.52,NA,0.93,1.02,NA
"278","C3710","Oxnard-Thousand Oaks-Ventura, CA MSA",0.97,0.86,0.99,1.52,0.81,1.04,1.08,6.01,0.84,0.78,NA,0.91,0.96,2.6
"279","C3734","Palm Bay-Melbourne-Titusville, FL MSA",1.21,1.12,0.62,1.1,0.55,1.2,1.21,0.09,1,0.98,NA,0.99,0.94,0.16
"280","C3746","Panama City, FL MSA",1.16,0.89,0.96,0.69,0.66,1.61,0.51,0.3,0.86,0.85,NA,1.04,1.06,0.23
"281","C3762","Parkersburg-Vienna, WV MSA",0.98,1.19,0.81,NA,NA,1.11,NA,NA,NA,0.61,NA,1,1.14,0.06
"282","C3770","Pascagoula, MS MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","C3786","Pensacola-Ferry Pass-Brent, FL MSA",1.29,1.11,1.26,0.67,0.7,1.22,0.42,0.23,0.95,0.91,NA,1.05,1,0.36
"284","C3790","Peoria, IL MSA",0.94,1.21,0.73,1.28,NA,0.97,1.62,0.32,NA,0.94,NA,0.99,0.98,0.31
"285","C3798","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",NA,1.4,1.31,0.74,0.82,0.87,NA,NA,1.1,1.1,NA,1.1,0.96,0.39
"286","C3806","Phoenix-Mesa-Scottsdale, AZ MSA",1.13,0.98,1.53,0.82,0.96,1.02,0.72,0.44,0.88,1.19,NA,1.09,1.03,1.95
"287","C3822","Pine Bluff, AR MSA",0.45,1.08,0.67,1.37,NA,NA,1.9,1.11,0.67,0.43,NA,0.73,0.84,NA
"288","C3830","Pittsburgh, PA MSA",1.01,1.35,1.09,0.92,0.77,0.97,0.9,0.71,1.16,1.08,NA,1.09,0.98,NA
"289","C3834","Pittsfield, MA MSA",0.95,1.67,0.71,0.84,0.62,1.37,0.86,0.29,1.18,0.58,NA,1.06,0.9,NA
"290","C3854","Pocatello, ID MSA",0.92,1.16,1.13,0.67,0.6,1.01,0.61,0.28,0.71,0.8,NA,0.98,0.99,NA
"291","C3866","Ponce, PR MSA",NA,1.03,NA,1.05,0.54,0.73,NA,1.38,NA,NA,NA,0.81,0.98,NA
"292","C3886","Portland-South Portland, ME MSA",0.94,1.25,1.15,0.91,0.7,1.12,NA,NA,0.99,0.85,NA,1.04,1.01,0
"293","C3890","Portland-Vancouver-Hillsboro, OR-WA MSA",1.08,0.93,0.95,1.16,1.09,0.95,1.26,0.86,1.28,1.09,NA,1,0.97,0.07
"294","C3894","Port St. Lucie, FL MSA",1.38,1.21,0.68,0.83,0.46,1.23,0.53,0.94,1.37,0.81,NA,1.06,1.14,0.6
"295","C3910","Poughkeepsie-Newburgh-Middletown, NY MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","C3914","Prescott, AZ MSA",1.34,1.26,0.55,0.94,0.47,1.38,0.63,1.49,0.87,0.48,NA,0.98,1.08,1.73
"297","C3930","Providence-Warwick, RI-MA MSA",NA,1.4,0.95,0.93,0.83,1.08,NA,NA,1.19,0.83,NA,1.05,0.96,0
"298","C3934","Provo-Orem, UT MSA",1.94,1.09,0.61,1.23,NA,0.8,0.98,0.5,NA,1.01,NA,0.98,0.94,0.03
"299","C3938","Pueblo, CO MSA",1.21,1.31,0.51,0.91,0.57,1.03,0.87,0.22,0.75,0.84,NA,0.95,0.92,0.05
"300","C3946","Punta Gorda, FL MSA",1.63,1.32,0.75,0.7,0.49,1.39,0.2,0.82,1.09,0.67,NA,1.09,1.23,0.06
"301","C3954","Racine, WI MSA",0.71,0.99,0.57,1.94,0.33,0.93,2.85,0.32,0.84,0.6,NA,0.84,1,NA
"302","C3958","Raleigh, NC MSA",1.26,0.79,0.91,0.82,1.75,1.05,0.68,0.24,0.95,1.37,NA,1.03,0.95,0
"303","C3966","Rapid City, SD MSA",1.56,1.07,1.08,0.81,0.69,1.42,0.51,0.24,1.15,0.55,NA,1.02,1.1,NA
"304","C3974","Reading, PA MSA",0.91,1.07,0.61,1.62,0.33,0.78,2.06,1.2,0.95,0.92,NA,0.92,1.01,NA
"305","C3982","Redding, CA MSA",0.87,1.44,0.72,0.66,0.56,0.96,0.42,1.44,0.95,0.7,NA,1,1.03,2.46
"306","C3990","Reno, NV MSA",1.36,NA,NA,0.86,0.5,1.61,0.71,0.13,0.85,0.98,NA,1.06,1.2,NA
"307","C4006","Richmond, VA MSA",NA,0.96,1.36,0.73,0.59,0.91,NA,NA,NA,1.16,NA,1.03,0.99,NA
"308","C4014","Riverside-San Bernardino-Ontario, CA MSA",1.37,0.95,0.57,0.98,0.43,1.03,0.8,0.83,0.9,0.77,NA,0.97,1.27,2.54
"309","C4022","Roanoke, VA MSA",NA,1.1,0.91,1.07,NA,0.86,1.16,NA,1.16,0.95,NA,1,1.11,NA
"310","C4034","Rochester, MN MSA",0.8,2.57,0.41,0.97,0.89,0.86,1.09,0.78,0.84,0.34,NA,1.07,0.81,NA
"311","C4038","Rochester, NY MSA",0.81,1.38,0.76,1.12,0.88,0.83,1.33,0.75,1.16,0.92,NA,0.98,0.84,0.93
"312","C4042","Rockford, IL MSA",0.7,1.06,0.64,1.72,0.51,0.87,2.5,0.19,1.1,0.75,NA,0.91,1.03,0.35
"313","C4058","Rocky Mount, NC MSA",0.82,0.74,0.48,1.68,NA,0.9,2.09,1.9,NA,0.66,NA,0.81,1.05,NA
"314","C4066","Rome, GA MSA",0.44,1.58,0.56,1.2,1.04,0.9,1.76,0.21,0.69,0.46,NA,0.97,1.05,0.94
"315","C4090","Sacramento--Roseville--Arden-Arcade, CA MSA",1.17,0.98,0.97,0.7,0.69,0.95,0.44,0.74,0.98,0.93,NA,0.91,0.82,2.22
"316","C4098","Saginaw, MI MSA",0.68,1.23,0.71,1.21,0.74,0.97,1.64,0.31,0.95,0.93,NA,1,1.01,0.44
"317","C4106","St. Cloud, MN MSA",1.26,1.25,0.84,1.47,0.8,0.8,1.69,0.86,0.91,0.57,NA,0.94,1.1,NA
"318","C4110","St. George, UT MSA",1.97,1.13,0.7,1.01,0.68,1.4,0.63,0.33,0.85,0.57,NA,1.02,1.21,0.03
"319","C4114","St. Joseph, MO-KS MSA",0.82,0.93,0.75,1.56,NA,0.83,NA,NA,NA,0.68,NA,0.85,1.02,NA
"320","C4118","St. Louis, MO-IL MSA",NA,1.18,1.1,0.92,NA,1.05,1,NA,NA,1.04,NA,1.06,0.99,0.08
"321","C4142","Salem, OR MSA",1.13,0.96,0.63,1.38,0.31,0.81,0.89,5.17,1.28,0.56,NA,0.78,0.81,0.02
"322","C4150","Salinas, CA MSA",0.61,0.64,0.39,2.32,0.36,1.16,0.34,20.03,0.84,0.49,NA,0.7,0.73,1.49
"323","C4154","Salisbury, MD-DE MSA",1.11,1.02,0.74,1.04,0.39,1.64,1.06,0.68,1.05,0.54,NA,0.99,1.06,NA
"324","C4162","Salt Lake City, UT MSA",1.12,0.75,1.44,0.93,1.3,0.8,0.93,0.32,0.87,1.25,NA,1.02,1.06,0.07
"325","C4166","San Angelo, TX MSA",NA,NA,NA,1.08,0.8,1.11,NA,3.13,1.11,0.54,NA,0.94,1.01,0.19
"326","C4170","San Antonio-New Braunfels, TX MSA",1.13,1,1.47,0.75,1.13,1.2,0.55,0.72,0.93,0.9,NA,1.03,0.92,0.14
"327","C4174","San Diego-Carlsbad, CA MSA",1.09,0.9,0.92,0.9,0.87,1.23,0.86,0.48,1.17,1.19,NA,1.01,0.83,3.02
"328","C4186","San Francisco-Oakland-Hayward, CA MSA",1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,NA,1.09,0.84,3.08
"329","C4190","San German, PR MSA",NA,1.11,0.31,1.58,NA,0.73,2.04,NA,NA,0.54,NA,0.74,0.82,NA
"330","C4194","San Jose-Sunnyvale-Santa Clara, CA MSA",0.91,0.94,0.61,1.36,NA,0.85,1.76,0.38,0.81,1.47,NA,1.02,0.7,NA
"331","C4198","San Juan-Carolina-Caguas, PR MSA",0.63,0.84,0.98,0.7,1.33,0.87,0.8,0.33,NA,1.02,NA,0.95,1.03,NA
"332","C4202","San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",1.23,0.79,0.64,1.1,0.63,1.41,0.69,3.14,1.51,0.79,NA,0.95,0.94,2.95
"333","C4206","Santa Barbara-Santa Maria-Goleta, CA MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","C4210","Santa Cruz-Watsonville, CA MSA",0.78,1.08,0.63,1.23,0.42,1.24,0.74,5.73,1.27,0.69,NA,0.93,0.87,3.1
"335","C4214","Santa Fe, NM MSA",0.92,1.11,0.69,0.41,0.67,1.48,0.16,0.36,1.35,0.52,NA,0.95,0.88,NA
"336","C4220","Santa Maria-Santa Barbara, CA MSA",0.87,0.86,0.59,1.48,1.13,1.26,0.75,7.89,0.96,0.81,NA,0.87,0.75,2.13
"337","C4222","Santa Rosa, CA MSA",1.27,1.06,0.72,1.34,0.7,1.14,1.24,2.19,1.09,0.73,NA,0.95,0.96,2.84
"338","C4226","Sarasota-Bradenton-Venice, FL MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","C4234","Savannah, GA MSA",0.8,0.97,0.65,0.98,0.59,1.42,1.21,0.11,0.98,0.76,NA,1.03,1.2,1.66
"340","C4254","Scranton--Wilkes-Barre--Hazleton, PA MSA",0.74,1.31,0.86,1,0.7,0.86,1.23,0.41,0.91,0.77,NA,1.05,1.29,NA
"341","C4266","Seattle-Tacoma-Bellevue, WA MSA",1.2,0.87,0.89,1.08,2.69,0.92,1.15,0.2,1.05,1.02,NA,1,0.99,0
"342","C4268","Sebastian-Vero Beach, FL MSA",1.45,1.29,0.93,0.96,0.59,1.41,0.46,2.51,1.41,0.69,NA,1.08,1.07,0.18
"343","C4270","Sebring, FL MSA",0.89,1.39,0.53,1.16,0.31,1.01,0.28,7.41,0.73,0.68,NA,0.96,1.05,0.09
"344","C4310","Sheboygan, WI MSA",0.73,0.76,0.79,2.65,0.21,0.82,3.95,0.82,0.77,0.51,NA,0.73,0.86,NA
"345","C4330","Sherman-Denison, TX MSA",1.24,1.38,1.15,1.28,0.49,1.02,1.39,0.76,0.72,0.46,NA,0.95,0.96,0.1
"346","C4334","Shreveport-Bossier City, LA MSA",NA,1.2,0.72,0.93,0.58,1.24,NA,1.99,0.77,0.65,NA,0.98,1.08,0.05
"347","C4342","Sierra Vista-Douglas, AZ MSA",0.75,0.85,0.49,0.57,0.67,1.02,0.18,2.4,0.58,0.83,NA,0.84,0.9,0.29
"348","C4358","Sioux City, IA-NE-SD MSA",1.58,0.91,0.78,1.73,NA,0.88,NA,NA,NA,0.63,NA,0.89,1.14,NA
"349","C4362","Sioux Falls, SD MSA",1.15,1.3,1.93,1.01,0.92,0.92,NA,NA,0.8,0.68,NA,1.09,1.13,NA
"350","C4378","South Bend-Mishawaka, IN-MI MSA",0.81,1.58,0.7,1.19,0.63,0.96,1.53,0.26,1.04,0.68,NA,1.02,0.98,0.25
"351","C4390","Spartanburg, SC MSA",0.89,0.58,0.59,1.71,NA,0.88,2.38,0.19,NA,0.76,NA,0.84,1.21,NA
"352","C4406","Spokane-Spokane Valley, WA MSA",1.01,1.32,1.02,0.87,0.69,0.87,0.85,0.55,0.9,0.77,NA,1,1.03,NA
"353","C4410","Springfield, IL MSA",0.65,1,0.88,0.39,NA,0.74,0.26,0.39,1.2,0.64,NA,0.8,0.71,NA
"354","C4414","Springfield, MA MSA",0.75,1.73,0.84,0.79,0.59,0.88,0.91,0.18,1.05,0.56,NA,1,0.9,NA
"355","C4418","Springfield, MO MSA",NA,1.24,0.98,0.8,1.07,0.95,0.86,NA,0.92,0.82,NA,1.06,1.23,NA
"356","C4422","Springfield, OH MSA",0.47,1.15,1.26,1.13,0.16,0.99,1.56,0.61,1.18,0.68,NA,0.99,1.06,NA
"357","C4430","State College, PA MSA",0.9,0.9,0.63,0.72,0.79,0.96,0.68,0.37,0.92,0.59,NA,0.78,0.77,NA
"358","C4442","Staunton-Waynesboro, VA MSA",NA,0.98,0.48,1.41,0.65,0.87,1.72,NA,1.03,0.56,NA,0.87,1.15,0.25
"359","C4470","Stockton-Lodi, CA MSA",0.95,0.99,0.56,1.31,0.43,0.78,0.9,5.01,0.89,0.59,NA,0.91,1.29,1.74
"360","C4494","Sumter, SC MSA",1.27,1.12,0.47,1.61,0.27,0.92,1.99,0.35,0.92,0.66,NA,0.83,0.84,NA
"361","C4506","Syracuse, NY MSA",0.85,1.18,0.91,0.85,0.72,0.92,0.93,0.37,1.11,0.76,NA,1,1.1,0.83
