"","city_name","msa","odc_score","odc_rank","home_value","construction","ed_health","finance","goods","information","leis_hosp","manufacturing","mining","other_serv","pro_bus","service","trad_trans_util","unclassified"
"43","Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL MSA",595,48,241700,0.99,0.98,1.23,0.58,0.96,1.17,0.39,0.46,1.26,1.11,1.13,1.22,0.58
"44","St. Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI MSA",0,94,231800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI MSA",135,83,231800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Missoula, MT","Missoula, MT MSA",0,94,246400,1.01,1.18,0.83,0.61,0.81,1.3,0.4,0.62,1.56,0.8,1.07,1.08,0.02
"47","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN MSA",865,29,192200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","New Orleans, LA","New Orleans-Metairie, LA MSA",880,28,188300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Jersey City, NJ","New York-Newark-Jersey City, NY-NJ-PA MSA",435,61,414000,0.86,1.24,1.47,0.55,1.51,0.89,0.46,0.07,1.3,1.11,1.12,0.97,2.64
"50","Oklahoma City, OK","Oklahoma City, OK MSA",705,39,146100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1535,8,240900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ MSA",0,94,219100,1.13,0.98,1.53,0.82,0.96,1.02,0.72,0.44,0.88,1.19,1.09,1.03,1.95
"53","Mesa, AZ","Phoenix-Mesa-Scottsdale, AZ MSA",935,26,219100,1.13,0.98,1.53,0.82,0.96,1.02,0.72,0.44,0.88,1.19,1.09,1.03,1.95
"54","Pittsburgh, PA","Pittsburgh, PA MSA",1170,19,143200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Portland, ME","Portland-South Portland, ME MSA",0,94,245800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA MSA",710,38,303100,1.08,0.93,0.95,1.16,1.09,0.95,1.26,0.86,1.28,1.09,1,0.97,0.07
"57","Providence, RI","Providence-Warwick, RI-MA MSA",1255,17,254500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Raleigh, NC","Raleigh, NC MSA",730,35,225000,1.26,0.79,0.91,0.82,1.75,1.05,0.68,0.24,0.95,1.37,1.03,0.95,0
"59","Richmond, VA","Richmond, VA MSA",555,50,219700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA MSA",1365,14,339900,1.17,0.98,0.97,0.7,0.69,0.95,0.44,0.74,0.98,0.93,0.91,0.82,2.22
"61","Salt Lake City, UT","Salt Lake City, UT MSA",1065,23,251200,1.12,0.75,1.44,0.93,1.3,0.8,0.93,0.32,0.87,1.25,1.02,1.06,0.07
"62","San Antonio, TX","San Antonio-New Braunfels, TX MSA",635,46,151400,1.13,1,1.47,0.75,1.13,1.2,0.55,0.72,0.93,0.9,1.03,0.92,0.14
"63","San Diego, CA","San Diego-Carlsbad, CA MSA",1510,9,485900,1.09,0.9,0.92,0.9,0.87,1.23,0.86,0.48,1.17,1.19,1.01,0.83,3.02
"64","San Francisco, CA","San Francisco-Oakland-Hayward, CA MSA",1675,4,718400,1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,1.09,0.84,3.08
"65","Oakland, CA","San Francisco-Oakland-Hayward, CA MSA",560,49,718400,1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,1.09,0.84,3.08
"66","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA MSA",920,27,823700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Savannah, GA","Savannah, GA MSA",0,94,173600,0.8,0.97,0.65,0.98,0.59,1.42,1.21,0.11,0.98,0.76,1.03,1.2,1.66
"68","Seattle, WA","Seattle-Tacoma-Bellevue, WA MSA",1410,12,361500,1.2,0.87,0.89,1.08,2.69,0.92,1.15,0.2,1.05,1.02,1,0.99,0
"69","Spartanburg, SC","Spartanburg, SC MSA",0,94,124300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","St. Louis, MO","St. Louis, MO-IL MSA",725,36,164200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL MSA",0,94,165600,1.14,1.05,1.45,0.76,1.03,1.11,0.58,0.61,0.93,1.18,1.1,1.02,0.31
"72","Toledo, OH","Toledo, OH MSA",50,91,118700,0.92,1.12,0.58,1.33,0.5,1.03,1.71,0.28,0.99,0.87,0.95,1,0.07
"73","Tulsa, OK","Tulsa, OK MSA",675,43,141800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Tuscaloosa, AL","Tuscaloosa, AL MSA",500,57,156400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Honolulu, HI","Urban Honolulu, HI MSA",35,93,629900,1.19,0.89,0.78,0.56,0.79,1.36,0.27,0.33,1.37,1.03,1.01,0.95,0
"76","Vallejo, CA","Vallejo-Fairfield, CA MSA",0,94,344900,1.47,1.22,0.66,1.15,0.42,1.03,1,1.08,0.9,0.52,0.93,1.06,2.02
"77","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",815,30,236900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Newport News, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",70,88,236900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Norfolk, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",325,69,236900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",970,25,401500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Arlington, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",520,53,401500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Cedar Falls, IA","Waterloo-Cedar Falls, IA MSA",0,94,143400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"Abilene, TX MSA",NA,NA,107400,1.21,1.24,0.92,0.86,0.9,1.1,0.5,1.98,0.99,0.58,0.98,1.03,0.1
"84",NA,"Akron, OH MSA",NA,NA,146300,0.81,1.11,0.73,1.11,0.64,0.94,1.43,0.14,1.01,1.12,1.02,1.05,0.1
"85",NA,"Albany-Schenectady-Troy, NY MSA",NA,NA,201000,0.92,1.22,1.03,0.7,0.96,0.82,0.66,0.27,1.18,0.85,0.96,0.88,0.98
"86",NA,"Albany, GA MSA",NA,NA,110200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,"Albany, OR MSA",NA,NA,176300,1.23,0.83,0.52,1.89,0.41,0.71,1.9,3.95,1.34,0.52,0.8,1.06,0.07
"88",NA,"Alexandria, LA MSA",NA,NA,134800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,"Allentown-Bethlehem-Easton, PA-NJ MSA",NA,NA,203500,0.74,1.33,0.72,0.97,0.84,0.95,1.2,0.29,0.94,0.94,1.06,1.15,0.28
"90",NA,"Altoona, PA MSA",NA,NA,114800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,"Amarillo, TX MSA",NA,NA,127800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,"Ames, IA MSA",NA,NA,177400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,"Anniston-Oxford-Jacksonville, AL MSA",NA,NA,111400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,"Appleton, WI MSA",NA,NA,159600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,"Atlantic City-Hammonton, NJ MSA",NA,NA,223400,0.9,1,0.52,0.48,0.31,2.78,0.19,0.97,0.96,0.53,1.09,0.89,0.34
"96",NA,"Auburn-Opelika, AL MSA",NA,NA,169000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,"Augusta-Richmond County, GA-SC MSA",NA,NA,135100,1.1,0.92,0.57,1.04,0.68,1.04,1.08,0.62,0.82,1.03,0.93,0.94,0.69
"98",NA,"Bakersfield, CA MSA",NA,NA,197100,1.14,0.69,0.48,2.17,0.43,0.73,0.51,15.63,0.67,0.59,0.7,0.84,1.66
"99",NA,"Barnstable Town, MA MSA",NA,NA,375300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,"Battle Creek, MI MSA",NA,NA,101400,0.62,1.2,0.37,1.63,0.4,0.75,2.37,0.37,0.83,0.7,0.82,0.83,0.57
"101",NA,"Bay City, MI MSA",NA,NA,94100,0.64,1.26,0.61,1.03,0.7,1.1,1.34,0.35,1.16,0.63,0.99,1.12,0.48
"102",NA,"Beaumont-Port Arthur, TX MSA",NA,NA,106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,"Beckley, WV MSA",NA,NA,99600,0.67,1.32,0.48,0.77,0.62,1.18,0.32,3.9,1.1,0.58,0.98,1.08,0.05
"104",NA,"Bellingham, WA MSA",NA,NA,293700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,"Bend-Redmond, OR MSA",NA,NA,312600,1.54,1.07,0.82,0.98,1.16,1.45,0.76,0.51,1.29,0.8,1.05,1,0.06
"106",NA,"Billings, MT MSA",NA,NA,211500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,"Binghamton, NY MSA",NA,NA,113600,0.81,1.08,0.62,1.05,0.87,0.93,1.31,0.26,1.18,0.65,0.91,1,0.79
"108",NA,"Bismarck, ND MSA",NA,NA,226300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,"Bloomington, IL MSA",NA,NA,163000,0.68,0.78,3.83,0.61,0.42,1.15,0.58,0.52,1.05,0.74,1.1,0.86,0.26
"110",NA,"Bloomington, IN MSA",NA,NA,154200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,"Bloomsburg-Berwick, PA MSA",NA,NA,159400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,"Bowling Green, KY MSA",NA,NA,127100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,"Bremerton-Silverdale, WA MSA",NA,NA,269200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,"Brownsville-Harlingen, TX MSA",NA,NA,82800,0.48,1.75,0.65,0.48,0.44,0.99,0.49,0.37,0.54,0.58,1.01,1.01,0.23
"115",NA,"Brunswick, GA MSA",NA,NA,134200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",NA,NA,135200,0.81,1.09,1.1,0.93,0.67,1.01,1.1,0.24,1.2,0.92,1.01,0.98,1.08
"117",NA,"Burlington, NC MSA",NA,NA,141100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,"California-Lexington Park, MD MSA",NA,NA,293700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,"Canton-Massillon, OH MSA",NA,NA,126400,0.96,1.25,0.8,1.5,0.49,1.05,1.93,0.59,1.11,0.58,0.94,0.98,0.06
"120",NA,"Cape Coral-Fort Myers, FL MSA",NA,NA,184200,1.99,0.74,0.87,0.86,0.65,1.54,0.26,0.98,1.05,0.9,1.02,1.11,0.1
"121",NA,"Cape Girardeau, MO-IL MSA",NA,NA,146500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,"Carbondale-Marion, IL MSA",NA,NA,98800,0.8,1.11,0.88,0.89,0.77,1.01,0.81,1.67,0.66,0.5,0.87,0.91,0.26
"123",NA,"Carson City, NV MSA",NA,NA,218100,0.78,0.9,0.68,0.88,0.42,1.15,1.06,0.12,0.72,0.48,0.77,0.74,0.17
"124",NA,"Casper, WY MSA",NA,NA,206400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,"Cedar Rapids, IA MSA",NA,NA,149000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,"Chambersburg-Waynesboro, PA MSA",NA,NA,175200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,"Champaign-Urbana, IL MSA",NA,NA,152600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,"Charleston-North Charleston, SC MSA",NA,NA,210400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,"Charleston, WV MSA",NA,NA,104100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,"Charlottesville, VA MSA",NA,NA,271900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,"Cheyenne, WY MSA",NA,NA,204500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,"Chico, CA MSA",NA,NA,246700,0.89,1.48,0.78,0.9,0.67,0.97,0.6,2.78,1.45,0.5,0.97,0.91,2.07
"133",NA,"Clarksville, TN-KY MSA",NA,NA,140600,0.69,0.88,0.65,1.08,0.69,1.16,1.38,0.5,0.71,0.7,0.89,1,0.07
"134",NA,"Cleveland, TN MSA",NA,NA,149000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,"Coeur d'Alene, ID MSA",NA,NA,197700,1.51,0.85,0.9,1.09,0.49,1.36,0.97,0.47,0.76,0.71,0.93,1.01,0
"136",NA,"College Station-Bryan, TX MSA",NA,NA,166300,1.02,0.67,0.64,0.87,0.62,1.24,0.58,2.17,0.78,0.52,0.76,0.78,0.09
"137",NA,"Colorado Springs, CO MSA",NA,NA,234100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,"Columbia, MO MSA",NA,NA,181000,0.81,0.87,0.95,0.56,0.72,1.1,0.5,0.15,0.78,0.85,0.9,0.9,0
"139",NA,"Columbia, SC MSA",NA,NA,147500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,"Columbus, GA-AL MSA",NA,NA,138900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,"Columbus, IN MSA",NA,NA,136800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,"Corpus Christi, TX MSA",NA,NA,123900,2.04,1.02,0.78,1.2,0.54,1.27,0.56,2.42,0.96,0.62,0.93,0.98,0.09
"143",NA,"Corvallis, OR MSA",NA,NA,275800,0.55,1.1,0.5,0.91,0.82,1,0.92,2.02,1.44,0.83,0.86,0.64,0
"144",NA,"Crestview-Fort Walton Beach-Destin, FL MSA",NA,NA,203500,1.2,0.72,1.05,0.61,0.45,1.84,0.38,0.07,1.11,0.91,1.03,0.97,0.37
"145",NA,"Cumberland, MD-WV MSA",NA,NA,119400,0.73,1.39,0.54,1.03,1.24,1.05,1.32,0.26,0.9,0.42,0.91,0.89,0.06
"146",NA,"Dalton, GA MSA",NA,NA,125600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,"Danville, IL MSA",NA,NA,73800,0.45,0.57,0.78,1.47,0.41,0.78,2.15,0.49,0.91,0.51,0.83,1.36,0.27
"148",NA,"Daphne-Fairhope-Foley, AL MSA",NA,NA,177800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,"Davenport-Moline-Rock Island, IA-IL MSA",NA,NA,128900,1.11,0.97,0.69,1.26,0.63,0.92,1.49,0.3,1.15,0.96,0.97,1.08,0.2
"150",NA,"Decatur, AL MSA",NA,NA,125700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,"Decatur, IL MSA",NA,NA,98200,1.39,1.12,0.67,1.82,0.6,0.94,2.32,0.15,0.94,0.43,0.89,1.1,0.61
"152",NA,"Deltona-Daytona Beach-Ormond Beach, FL MSA",NA,NA,151000,1.3,1.3,0.82,0.86,0.68,1.47,0.67,0.61,1.07,0.77,1.07,1,0.39
"153",NA,"Des Moines-West Des Moines, IA MSA",NA,NA,164700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,"Dothan, AL MSA",NA,NA,120500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,"Dover, DE MSA",NA,NA,215200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,"Dubuque, IA MSA",NA,NA,161700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,"Duluth, MN-WI MSA",NA,NA,147300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,"East Stroudsburg, PA MSA",NA,NA,166700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,"Eau Claire, WI MSA",NA,NA,151500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,"El Centro, CA MSA",NA,NA,169000,0.73,0.88,0.36,1.76,0.25,0.6,0.21,14.6,0.41,0.27,0.66,0.98,1.27
"161",NA,"El Paso, TX MSA",NA,NA,113900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,"Elizabethtown-Fort Knox, KY MSA",NA,NA,141500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,"Elkhart-Goshen, IN MSA",NA,NA,134900,0.53,0.59,0.38,3.46,0.2,0.55,5.54,0.15,0.62,0.54,0.59,0.77,0
"164",NA,"Elmira, NY MSA",NA,NA,98600,0.77,1.25,0.69,1.29,0.55,0.85,1.66,0.67,0.97,0.46,0.92,1.15,0.3
"165",NA,"Erie, PA MSA",NA,NA,121800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,"Eugene, OR MSA",NA,NA,235800,0.88,1.08,0.77,0.97,1.11,1.02,1.02,1.02,1.36,0.77,0.98,1.04,0.05
"167",NA,"Evansville, IN-KY MSA",NA,NA,130400,1.41,1.17,0.56,1.5,0.54,0.96,1.73,0.42,1.13,0.83,0.96,1.03,0
"168",NA,"Fairbanks, AK MSA",NA,NA,229300,1.88,0.93,0.6,0.84,0.66,1.06,0.18,1.54,0.79,0.44,0.86,1.12,0.6
"169",NA,"Fargo, ND-MN MSA",NA,NA,193600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,"Farmington, NM MSA",NA,NA,147800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,"Fayetteville-Springdale-Rogers, AR-MO MSA",NA,NA,159800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"Fayetteville, NC MSA",NA,NA,127800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,"Flagstaff, AZ MSA",NA,NA,228600,0.75,1.01,0.38,0.74,0.38,2.02,0.81,0.24,0.69,0.38,0.91,0.85,0.62
"174",NA,"Flint, MI MSA",NA,NA,99200,0.71,1.34,0.73,0.84,1.46,1.02,1.02,0.12,0.97,0.79,1.05,1.11,0.77
"175",NA,"Florence-Muscle Shoals, AL MSA",NA,NA,114800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
