"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"74","Tuscaloosa, AL","Tuscaloosa, AL MSA",500,0.43,156400,241851
"75","Honolulu, HI","Urban Honolulu, HI MSA",35,0.79,629900,998714
"76","Vallejo, CA","Vallejo-Fairfield, CA MSA",0,0.42,344900,436092
"77","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",815,0.74,236900,1723351
"78","Newport News, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",70,0.74,236900,1723351
"79","Norfolk, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",325,0.74,236900,1723351
"80","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",970,1.24,401500,6098283
"81","Arlington, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",520,1.24,401500,6098283
"82","Cedar Falls, IA","Waterloo-Cedar Falls, IA MSA",0,0.5,143400,170612
"83",NA,"Abilene, TX MSA",NA,0.9,107400,168922
"84",NA,"Akron, OH MSA",NA,0.64,146300,704243
"85",NA,"Albany-Schenectady-Troy, NY MSA",NA,0.96,201000,881830
"86",NA,"Albany, GA MSA",NA,0.68,110200,156997
"87",NA,"Albany, OR MSA",NA,0.41,176300,120547
"88",NA,"Alexandria, LA MSA",NA,NA,134800,154484
"89",NA,"Allentown-Bethlehem-Easton, PA-NJ MSA",NA,0.84,203500,832327
"90",NA,"Altoona, PA MSA",NA,0.73,114800,125593
"91",NA,"Amarillo, TX MSA",NA,NA,127800,263258
"92",NA,"Ames, IA MSA",NA,0.65,177400,96021
"93",NA,"Anniston-Oxford-Jacksonville, AL MSA",NA,0.61,111400,115620
"94",NA,"Appleton, WI MSA",NA,0.64,159600,233007
"95",NA,"Atlantic City-Hammonton, NJ MSA",NA,0.31,223400,274219
"96",NA,"Auburn-Opelika, AL MSA",NA,0.44,169000,156993
"97",NA,"Augusta-Richmond County, GA-SC MSA",NA,0.68,135100,590772
"98",NA,"Bakersfield, CA MSA",NA,0.43,197100,882176
"99",NA,"Barnstable Town, MA MSA",NA,0.76,375300,214333
"100",NA,"Battle Creek, MI MSA",NA,0.4,101400,134314
"101",NA,"Bay City, MI MSA",NA,0.7,94100,105659
"102",NA,"Beaumont-Port Arthur, TX MSA",NA,NA,106000,408216
"103",NA,"Beckley, WV MSA",NA,0.62,99600,122507
"104",NA,"Bellingham, WA MSA",NA,0.75,293700,212284
"105",NA,"Bend-Redmond, OR MSA",NA,1.16,312600,175268
"106",NA,"Billings, MT MSA",NA,0.81,211500,169329
"107",NA,"Binghamton, NY MSA",NA,0.87,113600,246020
"108",NA,"Bismarck, ND MSA",NA,0.63,226300,129640
"109",NA,"Bloomington, IL MSA",NA,0.42,163000,188725
"110",NA,"Bloomington, IN MSA",NA,NA,154200,165577
"111",NA,"Bloomsburg-Berwick, PA MSA",NA,NA,159400,85229
"112",NA,"Bowling Green, KY MSA",NA,NA,127100,166890
"113",NA,"Bremerton-Silverdale, WA MSA",NA,0.76,269200,260131
"114",NA,"Brownsville-Harlingen, TX MSA",NA,0.44,82800,422156
"115",NA,"Brunswick, GA MSA",NA,0.55,134200,117771
"116",NA,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",NA,0.67,135200,1135230
"117",NA,"Burlington, NC MSA",NA,0.41,141100,158276
"118",NA,"California-Lexington Park, MD MSA",NA,0.2,293700,111413
"119",NA,"Canton-Massillon, OH MSA",NA,0.49,126400,402976
"120",NA,"Cape Coral-Fort Myers, FL MSA",NA,0.65,184200,701982
"121",NA,"Cape Girardeau, MO-IL MSA",NA,NA,146500,96542
"122",NA,"Carbondale-Marion, IL MSA",NA,0.77,98800,126828
"123",NA,"Carson City, NV MSA",NA,0.42,218100,54521
"124",NA,"Casper, WY MSA",NA,0.52,206400,82178
"125",NA,"Cedar Rapids, IA MSA",NA,1.61,149000,266040
"126",NA,"Chambersburg-Waynesboro, PA MSA",NA,0.32,175200,153638
"127",NA,"Champaign-Urbana, IL MSA",NA,NA,152600,239672
"128",NA,"Charleston-North Charleston, SC MSA",NA,0.82,210400,744526
"129",NA,"Charleston, WV MSA",NA,0.81,104100,219236
"130",NA,"Charlottesville, VA MSA",NA,NA,271900,230602
"131",NA,"Cheyenne, WY MSA",NA,1.29,204500,97121
"132",NA,"Chico, CA MSA",NA,0.67,246700,225411
"133",NA,"Clarksville, TN-KY MSA",NA,0.69,140600,279887
"134",NA,"Cleveland, TN MSA",NA,0.33,149000,121678
"135",NA,"Coeur d'Alene, ID MSA",NA,0.49,197700,150346
"136",NA,"College Station-Bryan, TX MSA",NA,0.62,166300,250145
"137",NA,"Colorado Springs, CO MSA",NA,1.26,234100,697856
"138",NA,"Columbia, MO MSA",NA,0.72,181000,174974
"139",NA,"Columbia, SC MSA",NA,NA,147500,810574
"140",NA,"Columbus, GA-AL MSA",NA,0.6,138900,312936
"141",NA,"Columbus, IN MSA",NA,0.43,136800,81162
"142",NA,"Corpus Christi, TX MSA",NA,0.54,123900,450436
"143",NA,"Corvallis, OR MSA",NA,0.82,275800,87572
"144",NA,"Crestview-Fort Walton Beach-Destin, FL MSA",NA,0.45,203500,262172
"145",NA,"Cumberland, MD-WV MSA",NA,1.24,119400,99979
"146",NA,"Dalton, GA MSA",NA,NA,125600,143781
"147",NA,"Danville, IL MSA",NA,0.41,73800,79282
"148",NA,"Daphne-Fairhope-Foley, AL MSA",NA,0.25,177800,203709
"149",NA,"Davenport-Moline-Rock Island, IA-IL MSA",NA,0.63,128900,384584
"150",NA,"Decatur, AL MSA",NA,NA,125700,152680
"151",NA,"Decatur, IL MSA",NA,0.6,98200,107303
"152",NA,"Deltona-Daytona Beach-Ormond Beach, FL MSA",NA,0.68,151000,623279
"153",NA,"Des Moines-West Des Moines, IA MSA",NA,0.97,164700,622899
"154",NA,"Dothan, AL MSA",NA,NA,120500,148171
"155",NA,"Dover, DE MSA",NA,0.3,215200,173533
"156",NA,"Dubuque, IA MSA",NA,0.77,161700,97125
"157",NA,"Duluth, MN-WI MSA",NA,0.56,147300,279601
