"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"380",NA,"Wilmington, NC MSA",NA,1.31,219400,277969
"381",NA,"Winchester, VA-WV MSA",NA,NA,223700,133621
"382",NA,"Winston-Salem, NC MSA",NA,NA,145100,659330
"383",NA,"Worcester, MA-CT MSA",NA,0.63,247600,935536
"384",NA,"Yakima, WA MSA",NA,0.37,163200,248830
"385",NA,"York-Hanover, PA MSA",NA,0.46,168800,442867
"386",NA,"Youngstown-Warren-Boardman, OH-PA MSA",NA,0.44,103000,549885
"387",NA,"Yuba City, CA MSA",NA,0.38,221700,170955
"388",NA,"Yuma, AZ MSA",NA,0.39,119400,204275
"389",NA,"Aguadilla-Isabela, PR MSA",NA,0.47,NA,NA
"390",NA,"Anderson, IN MSA",NA,NA,NA,NA
"391",NA,"Anderson, SC MSA",NA,NA,NA,NA
"392",NA,"Arecibo, PR MSA",NA,NA,NA,NA
"393",NA,"Bloomington-Normal, IL MSA",NA,NA,NA,NA
"394",NA,"Bristol, VA MSA",NA,NA,NA,NA
"395",NA,"Fajardo, PR MSA",NA,NA,NA,NA
"396",NA,"Florence, AL MSA",NA,NA,NA,NA
"397",NA,"Fort Walton Beach-Crestview-Destin, FL MSA",NA,NA,NA,NA
"398",NA,"Guayama, PR MSA",NA,0.34,NA,NA
"399",NA,"Holland-Grand Haven, MI MSA",NA,NA,NA,NA
"400",NA,"Honolulu, HI MSA",NA,NA,NA,NA
"401",NA,"Lafayette, IN MSA",NA,NA,NA,NA
"402",NA,"Los Angeles-Long Beach-Santa Ana, CA MSA",NA,NA,NA,NA
"403",NA,"Louisville-Jefferson County, KY-IN MSA",NA,0.72,NA,NA
"404",NA,"Mayaguez, PR MSA",NA,NA,NA,NA
"405",NA,"Pascagoula, MS MSA",NA,NA,NA,NA
"406",NA,"Ponce, PR MSA",NA,0.54,NA,NA
"407",NA,"Poughkeepsie-Newburgh-Middletown, NY MSA",NA,NA,NA,NA
"408",NA,"San German, PR MSA",NA,NA,NA,NA
"409",NA,"San Juan-Carolina-Caguas, PR MSA",NA,1.33,NA,NA
"410",NA,"Santa Barbara-Santa Maria-Goleta, CA MSA",NA,NA,NA,NA
"411",NA,"Sarasota-Bradenton-Venice, FL MSA",NA,NA,NA,NA
"412",NA,"Vero Beach, FL MSA",NA,NA,NA,NA
"413",NA,"Yauco, PR MSA",NA,NA,NA,NA
"414","Key Biscayne, FL",NA,0,NA,NA,NA
"415","Compton, CA",NA,0,NA,NA,NA
"416","Burbank, CA",NA,100,NA,NA,NA
"417","Santa Monica, CA",NA,1560,NA,NA,NA
"418","Malibu, CA",NA,0,NA,NA,NA
"419","Cary, NC",NA,45,NA,NA,NA
"420","Denton, TX",NA,485,NA,NA,NA
"421","Whittier, CA",NA,0,NA,NA,NA
"422","Williamsburg, VA",NA,100,NA,NA,NA
"423","Pasadena, CA",NA,640,NA,NA,NA
"424","Manhattan Beach, CA",NA,380,NA,NA,NA
"425","Culver City, CA",NA,700,NA,NA,NA
"426","New York City, NY",NA,1650,NA,NA,NA
"427","Palo Alto, CA",NA,0,NA,NA,NA
"428","Deer Lodge, MT",NA,0,NA,NA,NA
"429","Princeton, NJ",NA,0,NA,NA,NA
"430","Calabasas, CA",NA,370,NA,NA,NA
"431","Hampton, VA",NA,130,NA,NA,NA
"432","Smithfield, VA",NA,0,NA,NA,NA
"433","Rolling Hills Estates, CA",NA,0,NA,NA,NA
"434","Bell, CA",NA,365,NA,NA,NA
"435","Chesapeake, VA",NA,305,NA,NA,NA
"436","El Segundo, CA",NA,370,NA,NA,NA
"437","Miami-Dade County, FL",NA,740,NA,NA,NA
"438","Summit, NJ",NA,0,NA,NA,NA
"439","Poquoson, VA",NA,0,NA,NA,NA
"440","Fredericksburg, VA",NA,0,NA,NA,NA
"441","Vernon, CA",NA,0,NA,NA,NA
"442","West Sacramento, CA",NA,0,NA,NA,NA
"443","Suffolk, VA",NA,60,NA,NA,NA
"444","St. Cloud, FL",NA,180,NA,NA,NA
"445","West Hollywood, CA",NA,700,NA,NA,NA
"446","San Juan, PR",NA,0,NA,NA,NA
"447","Portsmouth, VA",NA,250,NA,NA,NA
"448","Santa Clarita, CA",NA,405,NA,NA,NA
"449","West Covina, CA",NA,395,NA,NA,NA
"450","Evanston, IL",NA,0,NA,NA,NA
"451","Falls Church, VA",NA,290,NA,NA,NA
"452","Law Vegas, NV",NA,1790,NA,NA,NA
"453","Glendale, CA",NA,680,NA,NA,NA
