"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"57","Providence, RI","Providence-Warwick, RI-MA MSA",1255,0.83,254500,1613070
"58","Raleigh, NC","Raleigh, NC MSA",730,1.75,225000,1273568
"59","Richmond, VA","Richmond, VA MSA",555,0.59,219700,1271142
"60","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA MSA",1365,0.69,339900,2274194
"61","Salt Lake City, UT","Salt Lake City, UT MSA",1065,1.3,251200,1170266
"62","San Antonio, TX","San Antonio-New Braunfels, TX MSA",635,1.13,151400,2381828
"63","San Diego, CA","San Diego-Carlsbad, CA MSA",1510,0.87,485900,3299521
"64","San Francisco, CA","San Francisco-Oakland-Hayward, CA MSA",1675,1.9,718400,4656132
"65","Oakland, CA","San Francisco-Oakland-Hayward, CA MSA",560,1.9,718400,4656132
"67","Savannah, GA","Savannah, GA MSA",0,0.59,173600,379199
"68","Seattle, WA","Seattle-Tacoma-Bellevue, WA MSA",1410,2.69,361500,3733580
"71","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL MSA",0,1.03,165600,2975225
"72","Toledo, OH","Toledo, OH MSA",50,0.5,118700,605956
"74","Tuscaloosa, AL","Tuscaloosa, AL MSA",500,0.43,156400,241851
"75","Honolulu, HI","Urban Honolulu, HI MSA",35,0.79,629900,998714
"76","Vallejo, CA","Vallejo-Fairfield, CA MSA",0,0.42,344900,436092
"77","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",815,0.74,236900,1723351
"78","Newport News, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",70,0.74,236900,1723351
"79","Norfolk, VA","Virginia Beach-Norfolk-Newport News, VA-NC MSA",325,0.74,236900,1723351
"80","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",970,1.24,401500,6098283
"81","Arlington, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",520,1.24,401500,6098283
"82","Cedar Falls, IA","Waterloo-Cedar Falls, IA MSA",0,0.5,143400,170612
